date,value
2024-05-17,21050019
2024-05-18,21059641
2024-05-19,21064755
2024-05-23,21108233
2024-05-24,21120115
2024-05-25,21133021
2024-05-27,21170607
2024-06-18,21373052
2024-06-20,21398817
2024-06-21,21407174
2024-06-22,21411842
2024-06-25,21439086
2024-06-26,21447782
2024-06-28,21463517
2024-06-30,21473164
2024-07-03,21501181
2024-07-05,21521503
2024-07-06,21529084
2024-07-07,21537490
2024-07-09,21555282
2024-07-10,21565273
2024-07-11,21569354
2024-07-17,21620108
2024-07-18,21628186
2024-07-19,21641357
2024-07-20,21646718
2024-07-21,21654221
2024-07-22,21662975
2024-07-23,21674749
2024-07-24,21685172
2024-07-25,21695959
2024-07-26,21706108
2024-07-27,21714731
2024-07-28,21723219
2024-07-29,21731103
2024-07-30,21742166
2024-07-31,21754531
2024-08-01,21766123
2024-08-02,21780994
2024-08-03,21782289
2024-08-04,21792622
2024-08-05,21804091
2024-08-06,21817305
2024-08-07,21828526
2024-08-08,21839042
2024-08-09,21833568
2024-08-10,21844201
2024-08-11,21852188
2024-08-12,21861947
2024-08-13,21869990
2024-08-14,21877684
2024-08-15,21885602
2024-08-16,21892734
2024-08-17,21901632
2024-08-18,21908189
2024-08-19,21915635
2024-08-20,21925108
2024-08-21,21935202
2024-08-22,21942489
2024-08-23,21952726
2024-08-24,21962552
2024-08-25,21970968
2024-08-26,21978358
2024-08-27,21988847
2024-08-28,22000315
2024-08-29,22009069
2024-08-30,22016608
2024-08-31,22021379
2024-09-01,22028022
2024-09-02,22040887
2024-09-03,22044062
2024-09-04,22054280
2024-09-05,22063519
2024-09-06,22071463
2024-09-07,22081497
2024-09-08,22088711
2024-09-09,22095512
2024-09-10,22103396
2024-09-11,22110948
2024-09-12,22118775
2024-09-13,22127407
2024-09-14,22134376
2024-09-15,22142199
2024-09-16,22150525
2024-09-17,22158091
2024-09-18,22163193
2024-09-19,22171917
2024-09-20,22182157
2024-09-21,22190482
2024-09-22,22198352
2024-09-23,22207015
2024-09-24,22215795
2024-09-25,22225037
2024-09-26,22235079
2024-09-27,22246295
2024-09-28,22258752
2024-09-29,22268399
2024-09-30,22271125
2024-10-01,22280887
2024-10-02,22294437
2024-10-03,22310454
2024-10-05,22333966
2024-10-06,22341136
2024-10-07,22348701
2024-10-08,22358820
2024-10-09,22368240
2024-10-10,22385352
2024-10-11,22380185
2024-10-12,22390599
2024-10-13,22396582
2024-10-14,22406952
2024-10-15,22419713
2024-10-16,22432351
2024-10-17,22445346
2024-10-18,22456332
2024-10-19,22468007
2024-10-20,22489654
2024-10-21,22519377
2024-10-22,22544770
2024-11-23,23588678
2024-11-24,23616564
2024-11-26,23695995
2024-11-27,23731338
2024-11-28,23766344
2024-11-29,23792616
2024-11-30,23842453
2024-12-01,23922686
2024-12-02,24090127
2024-12-03,24292354
2024-12-04,24225165
2024-12-07,24216404
2024-12-08,24202676
2024-12-09,24184249
2024-12-10,24195310
2024-12-11,24200180
2024-12-12,24199207
2024-12-13,24189466
2024-12-14,24165517
2024-12-15,24147478
2024-12-16,24121227
2024-12-17,24089301
2024-12-19,24022480
2024-12-20,23987701
2024-12-21,23982078
2024-12-22,23965213
2024-12-24,23934194
2024-12-25,23915926
2024-12-26,23903462
2024-12-27,23885311
2024-12-28,23871770
2024-12-29,23863962
2024-12-30,23857641
2024-12-31,23858119
2025-01-02,23851788
2025-01-03,23843233
2025-01-04,23830927
2025-01-06,23813143
2025-01-07,23802834
2025-01-09,23788846
2025-01-10,23786574
2025-01-12,23778726
2025-01-13,23776953
2025-01-14,23768383
2025-01-16,23757501
2025-01-17,23741403
2025-01-18,23727262
2025-01-19,23717097
2025-01-21,23521908
2025-01-22,23393062
2025-01-23,23390008
2025-01-24,23389031
2025-01-25,23382793
2025-01-26,23383000
2025-01-27,23378760
2025-01-29,23357229
2025-01-30,23353217
2025-01-31,23350765
2025-02-01,23334258
2025-02-02,23324182
2025-02-03,23320898
2025-02-04,23308732
2025-02-05,23303941
2025-02-06,23302122
2025-02-07,23296563
2025-02-09,23289444
2025-02-10,23286253
2025-02-11,23282591
2025-02-12,23280704
2025-02-13,23279059
2025-02-14,23276484
2025-02-15,23275555
2025-02-16,23271629
2025-02-17,23269927
2025-02-19,23265544
2025-02-20,23262278
2025-02-21,23258489
2025-02-22,23252498
2025-02-23,23247302
2025-02-24,23244888
2025-02-25,23238325
2025-02-26,23237754
2025-02-27,23239998
2025-02-28,23238385
2025-03-01,23235489
2025-03-02,23235462
2025-03-03,23232283
2025-03-04,23217858
2025-03-05,23216101
2025-03-06,23214020
2025-03-07,23216903
2025-03-08,23214586
2025-03-09,23213682
2025-03-11,23208441
2025-03-12,23204909
2025-03-13,23203304
2025-03-14,23199835
2025-03-15,23196216
2025-03-16,23194861
2025-03-18,23186910
2025-03-19,23186394
2025-03-20,23185139
2025-03-22,23182435
2025-03-23,23179883
2025-03-24,23178937
2025-03-25,23179572
2025-03-26,23178680
2025-03-27,23176683
2025-03-31,23174383
2025-04-01,23174385
2025-04-05,23169271
2025-04-06,23169208
2025-04-07,23171120
2025-04-08,23170123
2025-04-09,23170722
2025-04-10,23172201
2025-04-11,23171210
2025-04-12,23167837
2025-04-14,23168020
2025-04-16,23169837
2025-04-17,23168146
2025-04-18,23166377
2025-04-20,23161799
2025-04-24,23158662
2025-04-25,23159418
2025-04-26,23158487
2025-04-27,23158044
2025-04-28,23155609
2025-04-29,23156707
2025-04-30,23156740
2025-05-01,23157536
2025-05-02,23156623
2025-05-03,23155977
2025-05-04,23156767
2025-05-05,23155899
2025-05-06,23161637
2025-05-07,23163813
2025-05-08,23165082
2025-05-10,23162160
2025-05-11,23161510
2025-05-12,23160909
2025-05-13,23160154
2025-05-14,23159829
2025-05-15,23163118
2025-05-16,23154861
2025-05-17,23155567
2025-05-18,23155886
2025-05-19,23155998
2025-05-20,23157996
2025-05-21,23159454
2025-05-22,23159466
2025-05-23,23158265
2025-05-24,23160093
2025-05-28,23161076
2025-05-30,23167353
2025-06-01,23169540
2025-06-02,23171097
2025-06-03,23173469
2025-06-04,23173975
2025-06-05,23176350
2025-06-06,23176787
2025-06-07,23176957
2025-06-09,23176647
2025-06-10,23176900
2025-06-11,23176251
2025-06-12,23173424
2025-06-13,23174841
2025-06-14,23176634
2025-06-15,23177875
2025-06-16,23180116
2025-06-17,23180307
2025-06-18,23181996
2025-06-19,23181700
2025-06-20,23181450
2025-06-21,23180579
2025-06-22,23182541
2025-06-24,23182813
2025-06-25,23183357
2025-06-28,23186510
2025-06-29,23187036
2025-06-30,23185142
2025-07-01,23185290
2025-07-02,23188924
2025-07-03,23186759
2025-07-04,23188265
2025-07-05,23184794
