date,value,x
2024-05-17,7462564406,1715979500000
2024-05-18,7462564406,1716052331000
2024-05-19,7446564406,1716102700000
2024-05-23,7446564406,1716445812000
2024-05-24,7467009206,1716520121000
2024-05-25,7467009206,1716652251000
2024-05-27,7467009206,1716822901000
2024-06-18,8565262602,1718716632000
2024-06-20,8567696638,1718918592000
2024-06-21,8567700361,1719011992000
2024-06-22,8571261943,1719066332000
2024-06-25,8584902647,1719321682000
2024-06-26,8587645734,1719412540000
2024-06-28,8599813769,1719576350000
2024-06-30,8618893257,1719706680000
2024-07-03,8604548199,1720011942000
2024-07-05,8657988211,1720197500000
2024-07-06,8661388211,1720294450000
2024-07-07,8662987079,1720395450000
2024-07-09,8672571262,1720552540000
2024-07-10,8680656863,1720646971000
2024-07-11,8680882466,1720703432000
2024-07-17,8644881105,1721221691000
2024-07-18,8644881105,1721268900000
2024-07-19,8604623355,1721355300000
2024-07-20,8604623355,1721441700000
2024-07-21,8606110639,1721528100000
2024-07-22,8606110639,1721614500000
2024-07-23,8609879865,1721700900000
2024-07-24,8593661628,1721787292000
2024-07-25,8578438604,1721873700000
2024-07-26,8576906864,1721960100000
2024-07-27,8583349730,1722046500000
2024-07-28,8583349730,1722132900000
2024-07-29,8583349730,1722219300000
2024-07-30,8582202389,1722305700000
2024-07-31,8578652122,1722392100000
2024-08-01,8540718399,1722478500000
2024-08-02,8539705161,1722638460000
2024-08-03,8539705161,1722651300000
2024-08-04,8539934696,1722737700000
2024-08-05,8541352573,1722824100000
2024-08-06,8573515071,1722910500000
2024-08-07,8580842309,1722996900000
2024-08-08,8552467358,1723083300000
2024-08-09,8515235965,1723169700000
2024-08-10,8504851385,1723256100000
2024-08-11,8504851385,1723342500000
2024-08-12,8503119118,1723428892000
2024-08-13,8502547591,1723515300000
2024-08-14,8502514615,1723601700000
2024-08-15,8501796427,1723688100000
2024-08-16,8473176896,1723774500000
2024-08-17,8472823586,1723860900000
2024-08-18,8472823586,1723947300000
2024-08-19,8475568942,1724033700000
2024-08-20,8474231556,1724120100000
2024-08-21,8473512152,1724206500000
2024-08-22,8482498671,1724292900000
2024-08-23,8487926209,1724379292000
2024-08-24,8493611264,1724465700000
2024-08-25,8500243167,1724552100000
2024-08-26,8527728935,1724638500000
2024-08-27,8542250472,1724724900000
2024-08-28,8541596189,1724811300000
2024-08-29,8544464927,1724897692000
2024-08-30,8550783105,1724984100000
2024-08-31,8570282968,1725070500000
2024-09-01,8570321794,1725156900000
2024-09-02,8551139901,1725301771000
2024-09-03,8553543503,1725329692000
2024-09-04,8549644779,1725416092000
2024-09-05,8547749723,1725502492000
2024-09-06,8541963844,1725588900000
2024-09-07,8308393944,1725675300000
2024-09-08,8304375543,1725761700000
2024-09-09,8300931593,1725848092000
2024-09-10,8306370474,1725934500000
2024-09-11,8308205524,1726020892000
2024-09-12,8308061518,1726107300000
2024-09-13,8325763512,1726193700000
2024-09-14,8316616508,1726280100000
2024-09-15,8311489208,1726366500000
2024-09-16,8295997570,1726452892000
2024-09-17,8289047979,1726539300000
2024-09-18,8278708931,1726625700000
2024-09-19,8279057098,1726712100000
2024-09-20,8278544139,1726798500000
2024-09-21,8277090195,1726884900000
2024-09-22,8264991608,1726971300000
2024-09-23,8244979940,1727057700000
2024-09-24,8251198601,1727144100000
2024-09-25,8248990529,1727230500000
2024-09-26,8260314408,1727316892000
2024-09-27,8265075450,1727403300000
2024-09-28,8276012605,1727489692000
2024-09-29,8260025158,1727576100000
2024-09-30,8190614903,1727662500000
2024-10-01,8176751994,1727748900000
2024-10-02,8176010874,1727835300000
2024-10-03,8225441199,1727921700000
2024-10-05,8263698685,1728094500000
2024-10-06,8263698685,1728180892000
2024-10-07,8263698685,1728267300000
2024-10-08,8270398286,1728353692000
2024-10-09,8277280363,1728440092000
2024-10-10,8276780363,1728526500000
2024-10-11,8289005858,1728612900000
2024-10-12,8289574091,1728699300000
2024-10-13,8288974091,1728785700000
2024-10-14,8290127985,1728872100000
2024-10-15,8290655174,1728958500000
2024-10-16,8291482358,1729044900000
2024-10-17,8291482358,1729131300000
2024-10-18,8291358199,1729217692000
2024-10-19,8291128774,1729304100000
2024-10-20,8289128774,1729390500000
2024-10-21,9012582867,1729476900000
2024-10-22,8991788169,1729563300000
2024-11-23,9611331027,1732376281000
2024-11-24,9132266813,1732414500000
2024-11-26,9131557107,1732587300000
2024-11-27,9160636393,1732673700000
2024-11-28,9119636393,1732760100000
2024-11-29,9090986060,1732846500000
2024-11-30,9421179041,1732932900000
2024-12-01,10544363106,1733019300000
2024-12-02,9494914894,1733105700000
2024-12-03,9566886959,1733192100000
2024-12-04,9489791927,1733278500000
2024-12-07,9331532524,1733539472000
2024-12-08,9302913675,1733624100000
2024-12-09,9308767235,1733710492000
2024-12-10,9341442554,1733796900000
2024-12-11,8881876393,1733958522000
2024-12-12,8861876393,1733969692000
2024-12-13,8856496615,1734056100000
2024-12-14,8844179430,1734142500000
2024-12-15,8838624011,1734228900000
2024-12-16,8837294472,1734315300000
2024-12-17,8023447286,1734401700000
2024-12-19,8055922343,1734574492000
2024-12-20,8038903342,1734720982000
2024-12-21,8022769627,1734747300000
2024-12-22,7899706851,1734833692000
2024-12-24,7916956020,1735006500000
2024-12-25,7894329205,1735092900000
2024-12-26,7874912018,1735179300000
2024-12-27,7890053647,1735265700000
2024-12-28,7889963647,1735352100000
2024-12-29,7878813647,1735452951000
2024-12-30,7870713647,1735526720000
2024-12-31,7997363940,1735664570000
2025-01-02,7951314209,1735800020000
2025-01-03,7941226010,1735870500000
2025-01-04,7930426997,1735956900000
2025-01-06,8090292554,1736129700000
2025-01-07,8091063395,1736216100000
2025-01-09,7136690759,1736388900000
2025-01-10,7136669073,1736475300000
2025-01-12,7136751337,1736715510000
2025-01-13,7136638531,1736734500000
2025-01-14,7116995310,1736872551000
2025-01-16,7068507364,1737005580000
2025-01-17,7148033703,1737084581000
2025-01-18,7148335050,1737171460000
2025-01-19,6998335050,1737252892000
2025-01-21,6997911546,1737425700000
2025-01-22,7009597540,1737557241000
2025-01-23,7009671144,1737657562000
2025-01-24,7009671144,1737684900000
2025-01-25,7005229954,1737843530000
2025-01-26,7005028273,1737857700000
2025-01-27,7003061452,1737944100000
2025-01-29,7007504058,1738121402000
2025-01-30,7006867156,1738205360000
2025-01-31,7005908876,1738289700000
2025-02-01,7033836818,1738376092000
2025-02-02,7033586818,1738462492000
2025-02-03,7033270883,1738548900000
2025-02-04,7037849132,1738635300000
2025-02-05,7042834255,1738721700000
2025-02-06,7041424329,1738808100000
2025-02-07,7041224329,1738894500000
2025-02-09,7041867297,1739067300000
2025-02-10,7041867297,1739153700000
2025-02-11,7042297274,1739314980000
2025-02-12,7042380767,1739365940000
2025-02-13,7042133965,1739412892000
2025-02-14,7041936713,1739499300000
2025-02-15,7037255876,1739585700000
2025-02-16,7036974771,1739672100000
2025-02-17,7036674771,1739758500000
2025-02-19,7036474246,1739931300000
2025-02-20,7119936471,1740017700000
2025-02-21,7119911788,1740104100000
2025-02-22,7117607690,1740190492000
2025-02-23,7117717417,1740276900000
2025-02-24,7117473732,1740363300000
2025-02-25,7108686778,1740449692000
2025-02-26,7010265044,1740536092000
2025-02-27,7011497302,1740628332000
2025-02-28,7071062800,1740708900000
2025-03-01,8146227843,1740795300000
2025-03-02,7138992867,1740881700000
2025-03-03,7138139706,1740968100000
2025-03-04,7137725990,1741054500000
2025-03-05,7038811805,1741150192000
2025-03-06,7039324251,1741232780000
2025-03-07,7040728149,1741313700000
2025-03-08,7050033578,1741400100000
2025-03-09,7054128731,1741486500000
2025-03-11,7069688002,1741659300000
2025-03-12,7070529281,1741749901000
2025-03-13,7070899503,1741835140000
2025-03-14,7071568180,1741918500000
2025-03-15,7134069962,1742004900000
2025-03-16,7134069963,1742091300000
2025-03-18,7134076805,1742264100000
2025-03-19,7136288698,1742422420000
2025-03-20,7136288698,1742436900000
2025-03-22,7131091455,1742625160000
2025-03-23,7130363638,1742714402000
2025-03-24,7130455207,1742782500000
2025-03-25,7127020831,1742878661000
2025-03-26,7123130155,1742961960000
2025-03-27,7123199519,1743041700000
2025-03-31,8139250653,1743387300000
2025-04-01,8145727834,1743473700000
2025-04-05,8132970653,1743893581000
2025-04-06,8131550039,1743966450000
2025-04-07,8159387153,1744033162000
2025-04-08,8160640120,1744079980000
2025-04-09,8162314513,1744164901000
2025-04-10,8329474716,1744259221000
2025-04-11,8330310857,1744337700000
2025-04-12,8316323056,1744476610000
2025-04-14,8305935598,1744606531000
2025-04-16,8307348141,1744768991000
2025-04-17,8310371868,1744856100000
2025-04-18,8311751308,1744942500000
2025-04-20,8311241481,1745128750000
2025-04-24,8283093968,1745472730000
2025-04-25,8279637235,1745551731000
2025-04-26,8271086783,1745655352000
2025-04-27,8271450917,1745720100000
2025-04-28,8272665557,1745806500000
2025-04-29,7277599204,1745892892000
2025-04-30,7284026482,1745992272000
2025-05-01,7286012747,1746072250000
2025-05-02,7284066703,1746152100000
2025-05-03,7259776004,1746238500000
2025-05-04,7259484386,1746324900000
2025-05-05,7259054489,1746411300000
2025-05-06,8265907365,1746497700000
2025-05-07,8274223287,1746584100000
2025-05-08,8278268770,1746670500000
2025-05-10,8314488123,1746843300000
2025-05-11,7310550150,1746929700000
2025-05-12,7308043494,1747016292000
2025-05-13,7358050079,1747102500000
2025-05-14,7337187287,1747191292000
2025-05-15,7336904494,1747275300000
2025-05-16,7339134996,1747361692000
2025-05-17,7339133336,1747448100000
2025-05-18,7337695478,1747534500000
2025-05-19,7339260447,1747631880000
2025-05-20,7344659976,1747707300000
2025-05-21,7346853844,1747793700000
2025-05-22,7345435428,1747880100000
2025-05-23,7345183728,1747975310000
2025-05-24,7348503108,1748052900000
2025-05-28,7363675599,1748398500000
2025-05-30,8397705156,1748584900000
2025-06-01,8407552723,1748760801000
2025-06-02,8277621127,1748830500000
2025-06-03,8276203597,1748932461000
2025-06-04,8275957797,1749008811000
2025-06-05,8271998737,1749089700000
2025-06-06,8294295281,1749176100000
2025-06-07,8296752423,1749305042000
2025-06-09,8296803537,1749435300000
2025-06-10,8285292530,1749521692000
2025-06-11,8275507151,1749608100000
2025-06-12,8278905718,1749696742000
2025-06-13,8308341831,1749797980000
2025-06-14,8318853415,1749875110000
2025-06-15,8309497499,1749953700000
2025-06-16,8309455965,1750040100000
2025-06-17,8311657889,1750139492000
2025-06-18,8316127779,1750212900000
2025-06-19,8323099570,1750299300000
2025-06-20,8321227216,1750385700000
2025-06-21,8327911880,1750482962000
2025-06-22,8338780017,1750558500000
2025-06-24,8298303622,1750796131000
2025-06-25,8298507363,1750817700000
2025-06-28,8285792062,1751076900000
2025-06-29,8286078109,1751163292000
2025-06-30,8279490971,1751249700000
2025-07-01,8278307416,1751336092000
2025-07-02,8268506368,1751435641000
2025-07-03,8265458228,1751508900000
