date,value,x
2024-05-17,11920704574,1715979500000
2024-05-18,11920768848,1716052331000
2024-05-19,11921728534,1716102700000
2024-05-23,11920263637,1716445812000
2024-05-24,11327809720,1716520121000
2024-05-25,11566321484,1716652251000
2024-05-27,11340694402,1716822901000
2024-06-18,11451877768,1718716632000
2024-06-20,11564787461,1718918592000
2024-06-21,11584943500,1719011992000
2024-06-22,11581539734,1719066332000
2024-06-25,11429078284,1719321682000
2024-06-26,11440578559,1719412540000
2024-06-28,11444567530,1719576350000
2024-06-30,11433958599,1719706680000
2024-07-03,10897391100,1720011942000
2024-07-05,11022604272,1720197500000
2024-07-06,10919007912,1720294450000
2024-07-07,10946821911,1720395450000
2024-07-09,11579597247,1720552540000
2024-07-10,11704891892,1720646971000
2024-07-11,11593857200,1720703432000
2024-07-17,11559542322,1721221691000
2024-07-18,11581234207,1721268900000
2024-07-19,11635224277,1721355300000
2024-07-20,11600067934,1721441700000
2024-07-21,11581278552,1721528100000
2024-07-22,11547165285,1721614500000
2024-07-23,11539986521,1721700900000
2024-07-24,11539666084,1721787292000
2024-07-25,11606844008,1721873700000
2024-07-26,11687059567,1721960100000
2024-07-27,11739484960,1722046500000
2024-07-28,11754110663,1722132900000
2024-07-29,11726529042,1722219300000
2024-07-30,11704997128,1722305700000
2024-07-31,11647743869,1722392100000
2024-08-01,11670488179,1722478500000
2024-08-02,11610523445,1722638460000
2024-08-03,11715772647,1722651300000
2024-08-04,11742645653,1722737700000
2024-08-05,11699814877,1722824100000
2024-08-06,11499097233,1722910500000
2024-08-07,11492055734,1722996900000
2024-08-08,11261878393,1723083300000
2024-08-09,11267507237,1723169700000
2024-08-10,11540166405,1723256100000
2024-08-11,11540038323,1723342500000
2024-08-12,11639315235,1723428892000
2024-08-13,11534091464,1723515300000
2024-08-14,11543124726,1723601700000
2024-08-15,11506830058,1723688100000
2024-08-16,11515917047,1723774500000
2024-08-17,12032099633,1723860900000
2024-08-18,12030368324,1723947300000
2024-08-19,12026602910,1724033700000
2024-08-20,12027436709,1724120100000
2024-08-21,12024299875,1724206500000
2024-08-22,11998714567,1724292900000
2024-08-23,11993473490,1724379292000
2024-08-24,11997574960,1724465700000
2024-08-25,11892724874,1724552100000
2024-08-26,11891062779,1724638500000
2024-08-27,11901555243,1724724900000
2024-08-28,11819591174,1724811300000
2024-08-29,11825282553,1724897692000
2024-08-30,11788074771,1724984100000
2024-08-31,11273704672,1725070500000
2024-09-01,11274388011,1725156900000
