date,value,x
2024-05-17,12352100780,1715979500000
2024-05-18,12351708077,1716052331000
2024-05-19,12350830190,1716102700000
2024-05-23,12420709153,1716445812000
2024-05-24,13022621082,1716520121000
2024-05-25,12823339443,1716652251000
2024-05-27,13094177183,1716822901000
2024-06-18,11884956310,1718716632000
2024-06-20,11885889548,1718918592000
2024-06-21,11885644971,1719011992000
2024-06-22,11884358728,1719066332000
2024-06-25,11885884988,1719321682000
2024-06-26,11885741623,1719412540000
2024-06-28,11863985787,1719576350000
2024-06-30,11863748493,1719706680000
2024-07-03,12489010690,1720011942000
2024-07-05,12368113032,1720197500000
2024-07-06,12439974334,1720294450000
2024-07-07,12439436181,1720395450000
2024-07-09,11732810891,1720552540000
2024-07-10,11732575132,1720646971000
2024-07-11,11731781842,1720703432000
2024-07-17,11716801695,1721221691000
2024-07-18,11711172293,1721268900000
2024-07-19,11711534571,1721355300000
2024-07-20,11710665244,1721441700000
2024-07-21,11710659814,1721528100000
2024-07-22,11709948452,1721614500000
2024-07-23,11708323958,1721700900000
2024-07-24,11709014077,1721787292000
2024-07-25,11709259109,1721873700000
2024-07-26,11708665566,1721960100000
2024-07-27,11678873967,1722046500000
2024-07-28,11679225735,1722132900000
2024-07-29,11679923619,1722219300000
2024-07-30,11679965370,1722305700000
2024-07-31,11676545036,1722392100000
2024-08-01,11674414163,1722478500000
2024-08-02,11680258215,1722638460000
2024-08-03,11678027489,1722651300000
2024-08-04,11678109581,1722737700000
2024-08-05,11682008594,1722824100000
2024-08-06,11690477989,1722910500000
2024-08-07,11690231381,1722996900000
2024-08-08,11685322805,1723083300000
2024-08-09,11682522123,1723169700000
2024-08-10,11682441599,1723256100000
2024-08-11,11682537898,1723342500000
2024-08-12,11683784199,1723428892000
2024-08-13,11683151701,1723515300000
2024-08-14,11683312073,1723601700000
2024-08-15,11682968549,1723688100000
2024-08-16,11683191189,1723774500000
2024-08-17,11167530478,1723860900000
2024-08-18,11167677179,1723947300000
2024-08-19,11167875865,1724033700000
2024-08-20,11183357371,1724120100000
2024-08-21,11183103654,1724206500000
2024-08-22,11183042925,1724292900000
2024-08-23,11184033611,1724379292000
2024-08-24,11183437502,1724465700000
2024-08-25,11183048422,1724552100000
2024-08-26,11183489926,1724638500000
2024-08-27,11184082056,1724724900000
2024-08-28,11184395423,1724811300000
2024-08-29,11184980008,1724897692000
2024-08-30,11184927094,1724984100000
2024-08-31,11771976383,1725070500000
2024-09-01,11771929359,1725156900000
