date,value,x
2024-05-17,1567389743,1715979500000
2024-05-18,1561227955,1716052331000
2024-05-19,1534347033,1716102700000
2024-05-23,1561500963,1716445812000
2024-05-24,1571668813,1716520121000
2024-05-25,1568784654,1716652251000
2024-05-27,1576012549,1716822901000
2024-06-18,1568277300,1718716632000
2024-06-20,1563087081,1718918592000
2024-06-21,1565741687,1719011992000
2024-06-22,1564929970,1719066332000
2024-06-25,1568679025,1719321682000
2024-06-26,1571367264,1719412540000
2024-06-28,1574518957,1719576350000
2024-06-30,1575179285,1719706680000
2024-07-03,1572275325,1720011942000
2024-07-05,1561467869,1720197500000
2024-07-06,1566427771,1720294450000
2024-07-07,1570380747,1720395450000
2024-07-09,1566637652,1720552540000
2024-07-10,1575725838,1720646971000
2024-07-11,1573980594,1720703432000
2024-07-17,1590113956,1721221691000
2024-07-18,1572907148,1721268900000
2024-07-19,1584316143,1721355300000
2024-07-20,1579870867,1721441700000
2024-07-21,1583303993,1721528100000
2024-07-22,1588726686,1721614500000
2024-07-23,1573877424,1721700900000
2024-07-24,1580840258,1721787292000
2024-07-25,1579327580,1721873700000
2024-07-26,1580550890,1721960100000
2024-07-27,1575252158,1722046500000
2024-07-28,1582248792,1722132900000
2024-07-29,1583123442,1722219300000
2024-07-30,1580372398,1722305700000
2024-07-31,1544023402,1722392100000
2024-08-01,1581744057,1722478500000
2024-08-02,1572565123,1722638460000
2024-08-03,1571250815,1722651300000
2024-08-04,1577717856,1722737700000
2024-08-05,1571966517,1722824100000
2024-08-06,1573613293,1722910500000
2024-08-07,1580757895,1722996900000
2024-08-08,1542247919,1723083300000
2024-08-09,1582779597,1723169700000
2024-08-10,1579133832,1723256100000
2024-08-11,1574373534,1723342500000
2024-08-12,1572717903,1723428892000
2024-08-13,1574529908,1723515300000
2024-08-14,1574274842,1723601700000
2024-08-15,1573048192,1723688100000
2024-08-16,1573012972,1723774500000
2024-08-17,1577965643,1723860900000
2024-08-18,1575928226,1723947300000
2024-08-19,1574805984,1724033700000
2024-08-20,1578217354,1724120100000
2024-08-21,1570036694,1724206500000
2024-08-22,1571264376,1724292900000
2024-08-23,1571035957,1724379292000
2024-08-24,1571705494,1724465700000
2024-08-25,1570512146,1724552100000
2024-08-26,1574668189,1724638500000
2024-08-27,1573601860,1724724900000
2024-08-28,1572210761,1724811300000
2024-08-29,1571847687,1724897692000
2024-08-30,1568174561,1724984100000
2024-08-31,1571965646,1725070500000
2024-09-01,1572252773,1725156900000
2024-09-02,1550961336,1725301771000
2024-09-03,1581993262,1725329692000
2024-09-04,1573561150,1725416092000
2024-09-05,1576097862,1725502492000
2024-09-06,1580326950,1725588900000
2024-09-07,1582874581,1725675300000
2024-09-08,1586801283,1725761700000
2024-09-09,1592927603,1725848092000
2024-09-10,1585511881,1725934500000
2024-09-11,1584103936,1726020892000
2024-09-12,1584483383,1726107300000
2024-09-13,1585667749,1726193700000
2024-09-14,1592871440,1726280100000
2024-09-15,1575040839,1726366500000
2024-09-16,1585446863,1726452892000
2024-09-17,1584286286,1726539300000
2024-09-18,1594726640,1726625700000
2024-09-19,1591749620,1726712100000
2024-09-20,1584152407,1726798500000
2024-09-21,1578214356,1726884900000
2024-09-22,1575089724,1726971300000
2024-09-23,1559545065,1727057700000
2024-09-24,1582797759,1727144100000
2024-09-25,1583722349,1727230500000
2024-09-26,1582463307,1727316892000
2024-09-27,1582448211,1727403300000
2024-09-28,1589681582,1727489692000
2024-09-29,1557548171,1727576100000
2024-09-30,1593379156,1727662500000
2024-10-01,1592823195,1727748900000
2024-10-02,1590551861,1727835300000
2024-10-03,1585676379,1727921700000
2024-10-05,1586582062,1728094500000
2024-10-06,1592784401,1728180892000
2024-10-07,1590625763,1728267300000
2024-10-08,1593682048,1728353692000
2024-10-09,1593023291,1728440092000
2024-10-10,1596252117,1728526500000
2024-10-11,1588973899,1728612900000
2024-10-12,1589928896,1728699300000
2024-10-13,1591124839,1728785700000
2024-10-14,1590198574,1728872100000
2024-10-15,1590572722,1728958500000
2024-10-16,1589812050,1729044900000
2024-10-17,1593839763,1729131300000
2024-10-18,1586718859,1729217692000
2024-10-19,1589005912,1729304100000
2024-10-20,1590703626,1729390500000
2024-10-21,1589284885,1729476900000
2024-10-22,1584060333,1729563300000
2024-11-23,1581430618,1732376281000
2024-11-24,1585550891,1732414500000
2024-11-26,1585924758,1732587300000
2024-11-27,1581911193,1732673700000
2024-11-28,1581514856,1732760100000
2024-11-29,1582148039,1732846500000
2024-11-30,1579772803,1732932900000
2024-12-01,1555633221,1733019300000
2024-12-02,1520650831,1733105700000
2024-12-03,1545189434,1733192100000
2024-12-04,1504397619,1733278500000
2024-12-07,1504534423,1733539472000
2024-12-08,1512524392,1733624100000
2024-12-09,1527949543,1733710492000
2024-12-10,1536140218,1733796900000
2024-12-11,1505744142,1733958522000
2024-12-12,1528703369,1733969692000
2024-12-13,1530574334,1734056100000
2024-12-14,1526056977,1734142500000
2024-12-15,1535646967,1734228900000
2024-12-16,1506903848,1734315300000
2024-12-17,1502068817,1734401700000
2024-12-19,1521524730,1734574492000
2024-12-20,1522910191,1734720982000
2024-12-21,1521878823,1734747300000
2024-12-22,1525227617,1734833692000
2024-12-24,1502230790,1735006500000
2024-12-25,1519643966,1735092900000
2024-12-26,1529916226,1735179300000
2024-12-27,1522753774,1735265700000
2024-12-28,1515765697,1735352100000
2024-12-29,1520552082,1735452951000
2024-12-30,1523461538,1735526720000
2024-12-31,1514919777,1735664570000
2025-01-02,1495444953,1735800020000
2025-01-03,1503399447,1735870500000
2025-01-04,1529891112,1735956900000
2025-01-06,1530885316,1736129700000
2025-01-07,1531071219,1736216100000
2025-01-09,1548307531,1736388900000
2025-01-10,1531804002,1736475300000
2025-01-12,1513169931,1736715510000
2025-01-13,1509226171,1736734500000
2025-01-14,1524728619,1736872551000
2025-01-16,1500717029,1737005580000
2025-01-17,1536998740,1737084581000
2025-01-18,1541394688,1737171460000
2025-01-19,1512882321,1737252892000
2025-01-21,1541813783,1737425700000
2025-01-22,1549353079,1737557241000
2025-01-23,1556357381,1737657562000
2025-01-24,1554445832,1737684900000
2025-01-25,1561566874,1737843530000
2025-01-26,1564991162,1737857700000
2025-01-27,1561340797,1737944100000
2025-01-29,1548379792,1738121402000
2025-01-30,1559839751,1738205360000
2025-01-31,1565950695,1738289700000
2025-02-01,1562798227,1738376092000
2025-02-02,1564301403,1738462492000
2025-02-03,1551964668,1738548900000
2025-02-04,1508692868,1738635300000
2025-02-05,1500090987,1738721700000
2025-02-06,1509764890,1738808100000
2025-02-07,1512733720,1738894500000
2025-02-09,1517218016,1739067300000
2025-02-10,1517632464,1739153700000
2025-02-11,1512997209,1739314980000
2025-02-12,1519577992,1739365940000
2025-02-13,1513492486,1739412892000
2025-02-14,1518803851,1739499300000
2025-02-15,1506233490,1739585700000
2025-02-16,1515666178,1739672100000
2025-02-17,1499157380,1739758500000
2025-02-19,1519538775,1739931300000
2025-02-20,1537033562,1740017700000
2025-02-21,1538955899,1740104100000
2025-02-22,1540069717,1740190492000
2025-02-23,1544805901,1740276900000
2025-02-24,1555494888,1740363300000
2025-02-25,1530992994,1740449692000
2025-02-26,1534536590,1740536092000
2025-02-27,1527168909,1740628332000
2025-02-28,1534955737,1740708900000
2025-03-01,1500804717,1740795300000
2025-03-02,1540098483,1740881700000
2025-03-03,1504219220,1740968100000
2025-03-04,1539712337,1741054500000
2025-03-05,1523698865,1741150192000
2025-03-06,1520786926,1741232780000
2025-03-07,1526185205,1741313700000
2025-03-08,1531597450,1741400100000
2025-03-09,1526394415,1741486500000
2025-03-11,1523778653,1741659300000
2025-03-12,1528959818,1741749901000
2025-03-13,1521468172,1741835140000
2025-03-14,1522997712,1741918500000
2025-03-15,1525944940,1742004900000
2025-03-16,1526793873,1742091300000
2025-03-18,1518758221,1742264100000
2025-03-19,1520302111,1742422420000
2025-03-20,1517452730,1742436900000
2025-03-22,1512341750,1742625160000
2025-03-23,1519625972,1742714402000
2025-03-24,1521573656,1742782500000
2025-03-25,1503570954,1742878661000
2025-03-26,1521542855,1742961960000
2025-03-27,1523028693,1743041700000
2025-03-31,1524638394,1743387300000
2025-04-01,1520922924,1743473700000
2025-04-05,1493477416,1743893581000
2025-04-06,1491376472,1743966450000
2025-04-07,1503608956,1744033162000
2025-04-08,1495976879,1744079980000
2025-04-09,1495642270,1744164901000
2025-04-10,1497035541,1744259221000
2025-04-11,1498863217,1744337700000
2025-04-12,1472966224,1744476610000
2025-04-14,1501345529,1744606531000
2025-04-16,1498178296,1744768991000
2025-04-17,1497189817,1744856100000
2025-04-18,1492682242,1744942500000
2025-04-20,1491900543,1745128750000
2025-04-24,1496990345,1745472730000
2025-04-25,1493043535,1745551731000
2025-04-26,1492891244,1745655352000
2025-04-27,1493088178,1745720100000
2025-04-28,1490476726,1745806500000
2025-04-29,1506888157,1745892892000
2025-04-30,1511910170,1745992272000
2025-05-01,1512612191,1746072250000
2025-05-02,1509891911,1746152100000
2025-05-03,1506309246,1746238500000
2025-05-04,1513719450,1746324900000
2025-05-05,1508408282,1746411300000
2025-05-06,1504854289,1746497700000
2025-05-07,1500037829,1746584100000
2025-05-08,1499031232,1746670500000
2025-05-10,1499650721,1746843300000
2025-05-11,1481613846,1746929700000
2025-05-12,1485739572,1747016292000
2025-05-13,1507838619,1747102500000
2025-05-14,1500464653,1747191292000
2025-05-15,1502566388,1747275300000
2025-05-16,1519204788,1747361692000
2025-05-17,1515497401,1747448100000
2025-05-18,1510427073,1747534500000
2025-05-19,1509781060,1747631880000
2025-05-20,1465158464,1747707300000
2025-05-21,1471474240,1747793700000
2025-05-22,1475162570,1747880100000
2025-05-23,1469264017,1747975310000
2025-05-24,1468777501,1748052900000
2025-05-28,1473196814,1748398500000
2025-05-30,1477298227,1748584900000
2025-06-01,1464562472,1748760801000
2025-06-02,1457486242,1748830500000
2025-06-03,1459907418,1748932461000
2025-06-04,1468181188,1749008811000
2025-06-05,1471536887,1749089700000
2025-06-06,1478321353,1749176100000
2025-06-07,1467050082,1749305042000
2025-06-09,1447824312,1749435300000
2025-06-10,1431630576,1749521692000
2025-06-11,1460456321,1749608100000
2025-06-12,1456473106,1749696742000
2025-06-13,1460354383,1749797980000
2025-06-14,1467853026,1749875110000
2025-06-15,1457460150,1749953700000
2025-06-16,1464512606,1750040100000
2025-06-17,1455918487,1750139492000
2025-06-18,1456355913,1750212900000
2025-06-19,1459414640,1750299300000
2025-06-20,1458724492,1750385700000
2025-06-21,1458854077,1750482962000
2025-06-22,1456522048,1750558500000
2025-06-24,1436571719,1750796131000
2025-06-25,1424778706,1750817700000
2025-06-28,1460716406,1751076900000
2025-06-29,1456999633,1751163292000
2025-06-30,1460606321,1751249700000
2025-07-01,1445228641,1751336092000
2025-07-02,1460964385,1751435641000
2025-07-03,1456405640,1751508900000
