date,value
2024-05-17,7462564406
2024-05-18,7462564406
2024-05-19,7446564406
2024-05-23,7446564406
2024-05-24,7467009206
2024-05-25,7467009206
2024-05-27,7467009206
2024-06-18,8565262602
2024-06-20,8567696638
2024-06-21,8567700361
2024-06-22,8571261943
2024-06-25,8584902647
2024-06-26,8587645734
2024-06-28,8599813769
2024-06-30,8618893257
2024-07-03,8604548199
2024-07-05,8657988211
2024-07-06,8661388211
2024-07-07,8662987079
2024-07-09,8672571262
2024-07-10,8680656863
2024-07-11,8680882466
2024-07-17,8644881105
2024-07-18,8644881105
2024-07-19,8604623355
2024-07-20,8604623355
2024-07-21,8606110639
2024-07-22,8606110639
2024-07-23,8609879865
2024-07-24,8593661628
2024-07-25,8578438604
2024-07-26,8576906864
2024-07-27,8583349730
2024-07-28,8583349730
2024-07-29,8583349730
2024-07-30,8582202389
2024-07-31,8578652122
2024-08-01,8540718399
2024-08-02,8539705161
2024-08-03,8539705161
2024-08-04,8539934696
2024-08-05,8541352573
2024-08-06,8573515071
2024-08-07,8580842309
2024-08-08,8552467358
2024-08-09,8515235965
2024-08-10,8504851385
2024-08-11,8504851385
2024-08-12,8503119118
2024-08-13,8502547591
2024-08-14,8502514615
2024-08-15,8501796427
2024-08-16,8473176896
2024-08-17,8472823586
2024-08-18,8472823586
2024-08-19,8475568942
2024-08-20,8474231556
2024-08-21,8473512152
2024-08-22,8482498671
2024-08-23,8487926209
2024-08-24,8493611264
2024-08-25,8500243167
2024-08-26,8527728935
2024-08-27,8542250472
2024-08-28,8541596189
2024-08-29,8544464927
2024-08-30,8550783105
2024-08-31,8570282968
2024-09-01,8570321794
2024-09-02,8551139901
2024-09-03,8553543503
2024-09-04,8549644779
2024-09-05,8547749723
2024-09-06,8541963844
2024-09-07,8308393944
2024-09-08,8304375543
2024-09-09,8300931593
2024-09-10,8306370474
2024-09-11,8308205524
2024-09-12,8308061518
2024-09-13,8325763512
2024-09-14,8316616508
2024-09-15,8311489208
2024-09-16,8295997570
2024-09-17,8289047979
2024-09-18,8278708931
2024-09-19,8279057098
2024-09-20,8278544139
2024-09-21,8277090195
2024-09-22,8264991608
2024-09-23,8244979940
2024-09-24,8251198601
2024-09-25,8248990529
2024-09-26,8260314408
2024-09-27,8265075450
2024-09-28,8276012605
2024-09-29,8260025158
2024-09-30,8190614903
2024-10-01,8176751994
2024-10-02,8176010874
2024-10-03,8225441199
2024-10-05,8263698685
2024-10-06,8263698685
2024-10-07,8263698685
2024-10-08,8270398286
2024-10-09,8277280363
2024-10-10,8276780363
2024-10-11,8289005858
2024-10-12,8289574091
2024-10-13,8288974091
2024-10-14,8290127985
2024-10-15,8290655174
2024-10-16,8291482358
2024-10-17,8291482358
2024-10-18,8291358199
2024-10-19,8291128774
2024-10-20,8289128774
2024-10-21,9012582867
2024-10-22,8991788169
2024-11-23,9611331027
2024-11-24,9132266813
2024-11-26,9131557107
2024-11-27,9160636393
2024-11-28,9119636393
2024-11-29,9090986060
2024-11-30,9421179041
2024-12-01,10544363106
2024-12-02,9494914894
2024-12-03,9566886959
2024-12-04,9489791927
2024-12-07,9331532524
2024-12-08,9302913675
2024-12-09,9308767235
2024-12-10,9341442554
2024-12-11,8881876393
2024-12-12,8861876393
2024-12-13,8856496615
2024-12-14,8844179430
2024-12-15,8838624011
2024-12-16,8837294472
2024-12-17,8023447286
2024-12-19,8055922343
2024-12-20,8038903342
2024-12-21,8022769627
2024-12-22,7899706851
2024-12-24,7916956020
2024-12-25,7894329205
2024-12-26,7874912018
2024-12-27,7890053647
2024-12-28,7889963647
2024-12-29,7878813647
2024-12-30,7870713647
2024-12-31,7997363940
2025-01-02,7951314209
2025-01-03,7941226010
2025-01-04,7930426997
2025-01-06,8090292554
2025-01-07,8091063395
2025-01-09,7136690759
2025-01-10,7136669073
2025-01-12,7136751337
2025-01-13,7136638531
2025-01-14,7116995310
2025-01-16,7068507364
2025-01-17,7148033703
2025-01-18,7148335050
2025-01-19,6998335050
2025-01-21,6997911546
2025-01-22,7009597540
2025-01-23,7009671144
2025-01-24,7009671144
2025-01-25,7005229954
2025-01-26,7005028273
2025-01-27,7003061452
2025-01-29,7007504058
2025-01-30,7006867156
2025-01-31,7005908876
2025-02-01,7033836818
2025-02-02,7033586818
2025-02-03,7033270883
2025-02-04,7037849132
2025-02-05,7042834255
2025-02-06,7041424329
2025-02-07,7041224329
2025-02-09,7041867297
2025-02-10,7041867297
2025-02-11,7042297274
2025-02-12,7042380767
2025-02-13,7042133965
2025-02-14,7041936713
2025-02-15,7037255876
2025-02-16,7036974771
2025-02-17,7036674771
2025-02-19,7036474246
2025-02-20,7119936471
2025-02-21,7119911788
2025-02-22,7117607690
2025-02-23,7117717417
2025-02-24,7117473732
2025-02-25,7108686778
2025-02-26,7010265044
2025-02-27,7011497302
2025-02-28,7071062800
2025-03-01,8146227843
2025-03-02,7138992867
2025-03-03,7138139706
2025-03-04,7137725990
2025-03-05,7038811805
2025-03-06,7039324251
2025-03-07,7040728149
2025-03-08,7050033578
2025-03-09,7054128731
2025-03-11,7069688002
2025-03-12,7070529281
2025-03-13,7070899503
2025-03-14,7071568180
2025-03-15,7134069962
2025-03-16,7134069963
2025-03-18,7134076805
2025-03-19,7136288698
2025-03-20,7136288698
2025-03-22,7131091455
2025-03-23,7130363638
2025-03-24,7130455207
2025-03-25,7127020831
2025-03-26,7123130155
2025-03-27,7123199519
2025-03-31,8139250653
2025-04-01,8145727834
2025-04-05,8132970653
2025-04-06,8131550039
2025-04-07,8159387153
2025-04-08,8160640120
2025-04-09,8162314513
2025-04-10,8329474716
2025-04-11,8330310857
2025-04-12,8316323056
2025-04-14,8305935598
2025-04-16,8307348141
2025-04-17,8310371868
2025-04-18,8311751308
2025-04-20,8311241481
2025-04-24,8283093968
2025-04-25,8279637235
2025-04-26,8271086783
2025-04-27,8271450917
2025-04-28,8272665557
2025-04-29,7277599204
2025-04-30,7284026482
2025-05-01,7286012747
2025-05-02,7284066703
2025-05-03,7259776004
2025-05-04,7259484386
2025-05-05,7259054489
2025-05-06,8265907365
2025-05-07,8274223287
2025-05-08,8278268770
2025-05-10,8314488123
2025-05-11,7310550150
2025-05-12,7308043494
2025-05-13,7358050079
2025-05-14,7337187287
2025-05-15,7336904494
2025-05-16,7339134996
2025-05-17,7339133336
2025-05-18,7337695478
2025-05-19,7339260447
2025-05-20,7344659976
2025-05-21,7346853844
2025-05-22,7345435428
2025-05-23,7345183728
2025-05-24,7348503108
2025-05-28,7363675599
2025-05-30,8397705156
2025-06-01,8407552723
2025-06-02,8277621127
2025-06-03,8276203597
2025-06-04,8275957797
2025-06-05,8271998737
2025-06-06,8294295281
2025-06-07,8296752423
2025-06-09,8296803537
2025-06-10,8285292530
2025-06-11,8275507151
2025-06-12,8278905718
2025-06-13,8308341831
2025-06-14,8318853415
2025-06-15,8309497499
2025-06-16,8309455965
2025-06-17,8311657889
2025-06-18,8316127779
2025-06-19,8323099570
2025-06-20,8321227216
2025-06-21,8327911880
2025-06-22,8338780017
2025-06-24,8298303622
2025-06-25,8298507363
2025-06-28,8285792062
2025-06-29,8286078109
2025-06-30,8279490971
2025-07-01,8278307416
2025-07-02,8268506368
2025-07-03,8265458228
2025-07-04,8307672368
2025-07-05,8076174448
2025-07-06,8078265086
2025-07-08,7843241315
2025-07-09,7838185953
2025-07-12,6608847043
2025-07-14,6610942405
2025-07-16,5564654151
2025-07-17,6585512802
2025-07-20,6584092291
2025-07-21,6846535820
2025-07-23,6851393807
2025-07-24,7002285674
2025-07-28,7000557417
2025-07-29,7315824856
2025-07-30,7316945350
2025-07-31,7317554635
2025-08-01,7315700007
2025-08-02,7320098745
2025-08-03,7325267103
2025-08-04,7320585656
2025-08-05,7321696624
2025-08-06,7322310787
2025-08-07,7317666572
2025-08-08,7316304747
