date,value
2024-05-17,11920704574
2024-05-18,11920768848
2024-05-19,11921728534
2024-05-23,11920263637
2024-05-24,11327809720
2024-05-25,11566321484
2024-05-27,11340694402
2024-06-18,11451877768
2024-06-20,11564787461
2024-06-21,11584943500
2024-06-22,11581539734
2024-06-25,11429078284
2024-06-26,11440578559
2024-06-28,11444567530
2024-06-30,11433958599
2024-07-03,10897391100
2024-07-05,11022604272
2024-07-06,10919007912
2024-07-07,10946821911
2024-07-09,11579597247
2024-07-10,11704891892
2024-07-11,11593857200
2024-07-17,11559542322
2024-07-18,11581234207
2024-07-19,11635224277
2024-07-20,11600067934
2024-07-21,11581278552
2024-07-22,11547165285
2024-07-23,11539986521
2024-07-24,11539666084
2024-07-25,11606844008
2024-07-26,11687059567
2024-07-27,11739484960
2024-07-28,11754110663
2024-07-29,11726529042
2024-07-30,11704997128
2024-07-31,11647743869
2024-08-01,11670488179
2024-08-02,11610523445
2024-08-03,11715772647
2024-08-04,11742645653
2024-08-05,11699814877
2024-08-06,11499097233
2024-08-07,11492055734
2024-08-08,11261878393
2024-08-09,11267507237
2024-08-10,11540166405
2024-08-11,11540038323
2024-08-12,11639315235
2024-08-13,11534091464
2024-08-14,11543124726
2024-08-15,11506830058
2024-08-16,11515917047
2024-08-17,12032099633
2024-08-18,12030368324
2024-08-19,12026602910
2024-08-20,12027436709
2024-08-21,12024299875
2024-08-22,11998714567
2024-08-23,11993473490
2024-08-24,11997574960
2024-08-25,11892724874
2024-08-26,11891062779
2024-08-27,11901555243
2024-08-28,11819591174
2024-08-29,11825282553
2024-08-30,11788074771
2024-08-31,11273704672
2024-09-01,11274388011
2024-09-02,12097166366
2024-09-03,12097828781
2024-09-04,12108933476
2024-09-05,12103136915
2024-09-06,12108197576
2024-09-07,12399379049
2024-09-08,12418705597
2024-09-09,12430343611
2024-09-10,11829834672
2024-09-11,11717360304
2024-09-12,11720968873
2024-09-13,11717943648
2024-09-14,11782772477
2024-09-15,11783682304
2024-09-16,11776571932
2024-09-17,12217391432
2024-09-18,12174358570
2024-09-19,11628428848
2024-09-20,11501676765
2024-09-21,11988874580
2024-09-22,12092245242
2024-09-23,12088954729
2024-09-24,12141178729
2024-09-25,11965153125
2024-09-26,11964716070
2024-09-27,11969073115
2024-09-28,12006620229
2024-09-29,12107581624
2024-09-30,11989122466
2024-10-01,11989427688
2024-10-02,12193445173
2024-10-03,12203112313
2024-10-05,12097384073
2024-10-06,12095874888
2024-10-07,12096676830
2024-10-08,12093387114
2024-10-09,11978260531
2024-10-10,11883256567
2024-10-11,11880920796
2024-10-12,11915108457
2024-10-13,11918027929
2024-10-14,11910489404
2024-10-15,11910085290
2024-10-16,11910783042
2024-10-17,11915110451
2024-10-18,11911639800
2024-10-19,12033090707
2024-10-20,12036441721
2024-10-21,12139793621
2024-10-22,12196543577
2024-11-23,11715964240
2024-11-24,12150586682
2024-11-26,12180788411
2024-11-27,12223555962
2024-11-28,12162820096
2024-11-29,12201571558
2024-11-30,11905500970
2024-12-01,11802364817
2024-12-02,11974933099
2024-12-03,12066064670
2024-12-04,11496727469
2024-12-07,11602235625
2024-12-08,11637058563
2024-12-09,11706619310
2024-12-10,11670172901
2024-12-11,11885694032
2024-12-12,11874397599
2024-12-13,11978999777
2024-12-14,12043339596
2024-12-15,12023064133
2024-12-16,11877477945
2024-12-17,11822849380
2024-12-19,11942229067
2024-12-20,12034816787
2024-12-21,11955450829
2024-12-22,11953766521
2024-12-24,11897683992
2024-12-25,11802336432
2024-12-26,11726799048
2024-12-27,11636684309
2024-12-28,11760371635
2024-12-29,11726600362
2024-12-30,11749312526
2024-12-31,11689647384
2025-01-02,11945807381
2025-01-03,11957141590
2025-01-04,11802625697
2025-01-06,11759332648
2025-01-07,11730803076
2025-01-09,11570499795
2025-01-10,11557871712
2025-01-12,11674396257
2025-01-13,11683842290
2025-01-14,11718482605
2025-01-16,11719001110
2025-01-17,11677151595
2025-01-18,11702211123
2025-01-19,11833139030
2025-01-21,11817436596
2025-01-22,11249067428
2025-01-23,11207686402
2025-01-24,11210111149
2025-01-25,11203298048
2025-01-26,11208002844
2025-01-27,11198921568
2025-01-29,11202050214
2025-01-30,11185254900
2025-01-31,11191310864
2025-02-01,11212261893
2025-02-02,11992867875
2025-02-03,12076248476
2025-02-04,12043471302
2025-02-05,11983854041
2025-02-06,11956599332
2025-02-07,11947210620
2025-02-09,11975944478
2025-02-10,11980891440
2025-02-11,11966857435
2025-02-12,11964404902
2025-02-13,11855997810
2025-02-14,11992109095
2025-02-15,11851967848
2025-02-16,11827604157
2025-02-17,11840435768
2025-02-19,11718778823
2025-02-20,11568348498
2025-02-21,11556887618
2025-02-22,11510425774
2025-02-23,11569941739
2025-02-24,11586049456
2025-02-25,11806701595
2025-02-26,11691821039
2025-02-27,11495136438
2025-02-28,11409796012
2025-03-01,11385030007
2025-03-02,11683129059
2025-03-03,11881328838
2025-03-04,11646868106
2025-03-05,11262423573
2025-03-06,11060589436
2025-03-07,11257241342
2025-03-08,11134372945
2025-03-09,11143728732
2025-03-11,11106327436
2025-03-12,11015080657
2025-03-13,11002852760
2025-03-14,11170855937
2025-03-15,11044879369
2025-03-16,11045240121
2025-03-18,11093003511
2025-03-19,10980386958
2025-03-20,10980575866
2025-03-22,10961686678
2025-03-23,10960285112
2025-03-24,10954602917
2025-03-25,10954513244
2025-03-26,10947061858
2025-03-27,10884634638
2025-03-31,10769918162
2025-04-01,10881207747
2025-04-05,10834706228
2025-04-06,10830295436
2025-04-07,11458527768
2025-04-08,11389609445
2025-04-09,11346802978
2025-04-10,11107165963
2025-04-11,11494058452
2025-04-12,11580135948
2025-04-14,11576646694
2025-04-16,11372324884
2025-04-17,11359579677
2025-04-18,11356635066
2025-04-20,11361167394
2025-04-24,11125795587
2025-04-25,10587644333
2025-04-26,10575113852
2025-04-27,10575555983
2025-04-28,10672191766
2025-04-29,10675753383
2025-04-30,10591152944
2025-05-01,10475912475
2025-05-02,10278716175
