date,value
2024-05-17,182265094
2024-05-18,182214280
2024-05-19,182216461
2024-05-23,182149279
2024-05-24,182139577
2024-05-25,182152918
2024-05-27,182067927
2024-06-18,181856655
2024-06-20,181832930
2024-06-21,181855804
2024-06-22,181851525
2024-06-25,181841293
2024-06-26,181841408
2024-06-28,181834366
2024-06-30,181870059
2024-07-03,181842447
2024-07-05,181793770
2024-07-06,181805098
2024-07-07,181792444
2024-07-09,181798850
2024-07-10,181808834
2024-07-11,181814183
2024-07-17,181801992
2024-07-18,181796477
2024-07-19,181794934
2024-07-20,181831344
2024-07-21,181861915
2024-07-22,181882935
2024-07-23,181896359
2024-07-24,181915999
2024-07-25,181925452
2024-07-26,181929051
2024-07-27,181960143
2024-07-28,181970006
2024-07-29,181966968
2024-07-30,181966709
2024-07-31,181981500
2024-08-01,182021933
2024-08-02,182055134
2024-08-03,182063150
2024-08-04,182059704
2024-08-05,182055403
2024-08-06,182050066
2024-08-07,182067926
2024-08-08,182102891
2024-08-09,182108938
2024-08-10,182146025
2024-08-11,182179495
2024-08-12,182197243
2024-08-13,182218139
2024-08-14,182233158
2024-08-15,182267508
2024-08-16,182285492
2024-08-17,182294102
2024-08-18,182313182
2024-08-19,182359500
2024-08-20,182368234
2024-08-21,182371402
2024-08-22,182388380
2024-08-23,182390736
2024-08-24,182397540
2024-08-25,182404581
2024-08-26,182411731
2024-08-27,182435672
2024-08-28,182404891
2024-08-29,182420359
2024-08-30,182415037
2024-08-31,182457167
2024-09-01,182466882
2024-09-02,182468312
2024-09-03,182474008
2024-09-04,182477849
2024-09-05,182489821
2024-09-06,182495270
2024-09-07,182492591
2024-09-08,182500599
2024-09-09,182489906
2024-09-10,182488908
2024-09-11,182488657
2024-09-12,182502886
2024-09-13,182522741
2024-09-14,182537253
2024-09-15,182537958
2024-09-16,182558716
2024-09-17,182553490
2024-09-18,182569399
2024-09-19,182564887
2024-09-20,182554939
2024-09-21,182548508
2024-09-22,182539545
2024-09-23,182536377
2024-09-24,182526786
2024-09-25,182542692
2024-09-26,182524788
2024-09-27,182534500
2024-09-28,182515422
2024-09-29,182515929
2024-09-30,182507473
2024-10-01,182527941
2024-10-02,182573347
2024-10-03,182593532
2024-10-05,182624769
2024-10-06,182624427
2024-10-07,182631935
2024-10-08,182628530
2024-10-09,182554637
2024-10-10,182541349
2024-10-11,182678835
2024-10-12,182699508
2024-10-13,182819520
2024-10-14,182824733
2024-10-15,182832946
2024-10-16,182827601
2024-10-17,182838152
2024-10-18,182862456
2024-10-19,182875725
2024-10-20,182996141
2024-10-21,183095626
2024-10-22,183139745
2024-11-23,183581137
2024-11-24,183614114
2024-11-26,183722625
2024-11-27,183773835
2024-11-28,183941262
2024-11-29,184075836
2024-11-30,184297445
2024-12-01,184618645
2024-12-02,185425909
2024-12-03,185901673
2024-12-04,185583477
2024-12-07,185642772
2024-12-08,185869198
2024-12-09,186111685
2024-12-10,186268962
2024-12-11,186672165
2024-12-12,186709798
2024-12-13,186912111
2024-12-14,187190037
2024-12-15,187436746
2024-12-16,187583946
2024-12-17,187793649
2024-12-19,188255762
2024-12-20,188528986
2024-12-21,188609032
2024-12-22,188769115
2024-12-24,189085005
2024-12-25,189295761
2024-12-26,189522117
2024-12-27,189726873
2024-12-28,189949513
2024-12-29,190217519
2024-12-30,190346144
2024-12-31,190599245
2025-01-02,190854826
2025-01-03,191045204
2025-01-04,191299100
2025-01-06,191593382
2025-01-07,191755797
2025-01-09,192150095
2025-01-10,192327074
2025-01-12,192874446
2025-01-13,192931762
2025-01-14,193162985
