date,value
2024-05-17,12352100780
2024-05-18,12351708077
2024-05-19,12350830190
2024-05-23,12420709153
2024-05-24,13022621082
2024-05-25,12823339443
2024-05-27,13094177183
2024-06-18,11884956310
2024-06-20,11885889548
2024-06-21,11885644971
2024-06-22,11884358728
2024-06-25,11885884988
2024-06-26,11885741623
2024-06-28,11863985787
2024-06-30,11863748493
2024-07-03,12489010690
2024-07-05,12368113032
2024-07-06,12439974334
2024-07-07,12439436181
2024-07-09,11732810891
2024-07-10,11732575132
2024-07-11,11731781842
2024-07-17,11716801695
2024-07-18,11711172293
2024-07-19,11711534571
2024-07-20,11710665244
2024-07-21,11710659814
2024-07-22,11709948452
2024-07-23,11708323958
2024-07-24,11709014077
2024-07-25,11709259109
2024-07-26,11708665566
2024-07-27,11678873967
2024-07-28,11679225735
2024-07-29,11679923619
2024-07-30,11679965370
2024-07-31,11676545036
2024-08-01,11674414163
2024-08-02,11680258215
2024-08-03,11678027489
2024-08-04,11678109581
2024-08-05,11682008594
2024-08-06,11690477989
2024-08-07,11690231381
2024-08-08,11685322805
2024-08-09,11682522123
2024-08-10,11682441599
2024-08-11,11682537898
2024-08-12,11683784199
2024-08-13,11683151701
2024-08-14,11683312073
2024-08-15,11682968549
2024-08-16,11683191189
2024-08-17,11167530478
2024-08-18,11167677179
2024-08-19,11167875865
2024-08-20,11183357371
2024-08-21,11183103654
2024-08-22,11183042925
2024-08-23,11184033611
2024-08-24,11183437502
2024-08-25,11183048422
2024-08-26,11183489926
2024-08-27,11184082056
2024-08-28,11184395423
2024-08-29,11184980008
2024-08-30,11184927094
2024-08-31,11771976383
2024-09-01,11771929359
2024-09-02,11185876880
2024-09-03,11184400303
2024-09-04,11184344966
2024-09-05,11185606831
2024-09-06,11186563012
2024-09-07,11187626622
2024-09-08,11187862825
2024-09-09,11188122150
2024-09-10,11802301513
2024-09-11,11601826164
2024-09-12,11602277301
2024-09-13,11601698121
2024-09-14,11602317380
2024-09-15,11602142783
2024-09-16,11601303843
2024-09-17,11101154827
2024-09-18,11099314890
2024-09-19,11599734803
2024-09-20,11598886245
2024-09-21,11598895709
2024-09-22,11598523721
2024-09-23,11598526413
2024-09-24,11598145118
2024-09-25,11651164573
2024-09-26,11650377897
2024-09-27,11649869107
2024-09-28,11650516743
2024-09-29,11649998922
2024-09-30,11705028529
2024-10-01,11759280894
2024-10-02,11759655100
2024-10-03,11763382890
2024-10-05,11767488872
2024-10-06,11767203254
2024-10-07,11768117303
2024-10-08,11767632306
2024-10-09,11767843234
2024-10-10,11767523776
2024-10-11,11767568206
2024-10-12,11768201405
2024-10-13,11767438079
2024-10-14,11767536193
2024-10-15,11767573049
2024-10-16,11767411860
2024-10-17,11766548202
2024-10-18,11765258509
2024-10-19,11764616373
2024-10-20,11764596804
2024-10-21,11041635649
2024-10-22,11040555046
2024-11-23,10381488198
2024-11-24,10380389275
2024-11-26,10334804013
2024-11-27,10334481730
2024-11-28,10331533553
2024-11-29,10330106714
2024-11-30,10328414391
2024-12-01,9828576490
2024-12-02,10326738921
2024-12-03,10316665304
2024-12-04,10786679304
2024-12-07,10829029363
2024-12-08,10828713930
2024-12-09,10825029646
2024-12-10,10824249984
2024-12-11,10991114947
2024-12-12,10988393224
2024-12-13,10988813939
2024-12-14,10988106813
2024-12-15,10988558703
2024-12-16,10989102708
2024-12-17,11795344653
2024-12-19,11794455961
2024-12-20,11797916144
2024-12-21,11796009146
2024-12-22,11795734718
2024-12-24,11794791926
2024-12-25,11792196069
2024-12-26,11793399264
2024-12-27,11795209708
2024-12-28,11795821916
2024-12-29,11796259058
2024-12-30,11796849420
2024-12-31,11798918033
2025-01-02,11794457775
2025-01-03,11793865807
2025-01-04,11792181801
2025-01-06,11791431406
2025-01-07,11791249736
2025-01-09,12768460636
2025-01-10,12775936963
2025-01-12,12730901089
2025-01-13,12730400934
2025-01-14,12697715703
2025-01-16,12697082024
2025-01-17,12673125795
2025-01-18,12688447766
2025-01-19,12699170570
2025-01-21,12615934868
2025-01-22,13109762964
2025-01-23,13126616609
2025-01-24,13128532802
2025-01-25,13137381670
2025-01-26,13136645967
2025-01-27,13141245474
2025-01-29,13137713615
2025-01-30,13144021718
2025-01-31,13143444189
2025-02-01,13151063171
2025-02-02,11603745235
2025-02-03,12129794398
2025-02-04,12031005972
2025-02-05,12526944027
2025-02-06,12540507745
2025-02-07,12542964113
2025-02-09,12527195130
2025-02-10,12527364305
2025-02-11,12527964835
2025-02-12,12530305856
2025-02-13,12532703396
2025-02-14,12532319122
2025-02-15,12491624926
2025-02-16,12491452893
2025-02-17,12491302453
2025-02-19,12506285364
2025-02-20,12507527356
2025-02-21,12513984195
2025-02-22,12532165338
2025-02-23,12534672887
2025-02-24,12534430936
2025-02-25,12548533030
2025-02-26,12551575313
2025-02-27,12550429164
2025-02-28,12549309750
2025-03-01,11555090896
2025-03-02,11536256030
2025-03-03,11490589450
2025-03-04,12494649256
2025-03-05,13019764554
2025-03-06,13028232989
2025-03-07,13030656230
2025-03-08,13053029495
2025-03-09,13052167258
2025-03-11,13070120078
2025-03-12,13070628482
2025-03-13,13083247622
2025-03-14,13083598239
2025-03-15,13083638910
2025-03-16,13083495141
2025-03-18,13102254934
2025-03-19,13115220280
2025-03-20,13113257369
2025-03-22,13113707874
2025-03-23,13114333343
2025-03-24,13114023032
2025-03-25,13112907919
2025-03-26,13108227694
2025-03-27,13146251869
2025-03-31,12146848124
2025-04-01,12146031605
2025-04-05,12156678015
2025-04-06,12157220643
2025-04-07,11490483686
2025-04-08,11489246265
2025-04-09,11528939847
2025-04-10,11527534368
2025-04-11,11132776079
2025-04-12,11133178581
2025-04-14,11134667268
2025-04-16,11134215901
2025-04-17,11134641792
2025-04-18,11135344740
2025-04-20,11135039224
2025-04-24,11128854004
2025-04-25,11625368820
2025-04-26,11624132272
2025-04-27,11624541028
2025-04-28,11623179578
2025-04-29,12619971461
2025-04-30,12620871640
2025-05-01,12621385801
2025-05-02,12119997176
2025-05-03,13120422250
2025-05-04,13120628109
2025-05-05,13121025383
