date,value
2024-05-17,1567389743
2024-05-18,1561227955
2024-05-19,1534347033
2024-05-23,1561500963
2024-05-24,1571668813
2024-05-25,1568784654
2024-05-27,1576012549
2024-06-18,1568277300
2024-06-20,1563087081
2024-06-21,1565741687
2024-06-22,1564929970
2024-06-25,1568679025
2024-06-26,1571367264
2024-06-28,1574518957
2024-06-30,1575179285
2024-07-03,1572275325
2024-07-05,1561467869
2024-07-06,1566427771
2024-07-07,1570380747
2024-07-09,1566637652
2024-07-10,1575725838
2024-07-11,1573980594
2024-07-17,1590113956
2024-07-18,1572907148
2024-07-19,1584316143
2024-07-20,1579870867
2024-07-21,1583303993
2024-07-22,1588726686
2024-07-23,1573877424
2024-07-24,1580840258
2024-07-25,1579327580
2024-07-26,1580550890
2024-07-27,1575252158
2024-07-28,1582248792
2024-07-29,1583123442
2024-07-30,1580372398
2024-07-31,1544023402
2024-08-01,1581744057
2024-08-02,1572565123
2024-08-03,1571250815
2024-08-04,1577717856
2024-08-05,1571966517
2024-08-06,1573613293
2024-08-07,1580757895
2024-08-08,1542247919
2024-08-09,1582779597
2024-08-10,1579133832
2024-08-11,1574373534
2024-08-12,1572717903
2024-08-13,1574529908
2024-08-14,1574274842
2024-08-15,1573048192
2024-08-16,1573012972
2024-08-17,1577965643
2024-08-18,1575928226
2024-08-19,1574805984
2024-08-20,1578217354
2024-08-21,1570036694
2024-08-22,1571264376
2024-08-23,1571035957
2024-08-24,1571705494
2024-08-25,1570512146
2024-08-26,1574668189
2024-08-27,1573601860
2024-08-28,1572210761
2024-08-29,1571847687
2024-08-30,1568174561
2024-08-31,1571965646
2024-09-01,1572252773
2024-09-02,1550961336
2024-09-03,1581993262
2024-09-04,1573561150
2024-09-05,1576097862
2024-09-06,1580326950
2024-09-07,1582874581
2024-09-08,1586801283
2024-09-09,1592927603
2024-09-10,1585511881
2024-09-11,1584103936
2024-09-12,1584483383
2024-09-13,1585667749
2024-09-14,1592871440
2024-09-15,1575040839
2024-09-16,1585446863
2024-09-17,1584286286
2024-09-18,1594726640
2024-09-19,1591749620
2024-09-20,1584152407
2024-09-21,1578214356
2024-09-22,1575089724
2024-09-23,1559545065
2024-09-24,1582797759
2024-09-25,1583722349
2024-09-26,1582463307
2024-09-27,1582448211
2024-09-28,1589681582
2024-09-29,1557548171
2024-09-30,1593379156
2024-10-01,1592823195
2024-10-02,1590551861
2024-10-03,1585676379
2024-10-05,1586582062
2024-10-06,1592784401
2024-10-07,1590625763
2024-10-08,1593682048
2024-10-09,1593023291
2024-10-10,1596252117
2024-10-11,1588973899
2024-10-12,1589928896
2024-10-13,1591124839
2024-10-14,1590198574
2024-10-15,1590572722
2024-10-16,1589812050
2024-10-17,1593839763
2024-10-18,1586718859
2024-10-19,1589005912
2024-10-20,1590703626
2024-10-21,1589284885
2024-10-22,1584060333
2024-11-23,1581430618
2024-11-24,1585550891
2024-11-26,1585924758
2024-11-27,1581911193
2024-11-28,1581514856
2024-11-29,1582148039
2024-11-30,1579772803
2024-12-01,1555633221
2024-12-02,1520650831
2024-12-03,1545189434
2024-12-04,1504397619
2024-12-07,1504534423
2024-12-08,1512524392
2024-12-09,1527949543
2024-12-10,1536140218
2024-12-11,1505744142
2024-12-12,1528703369
2024-12-13,1530574334
2024-12-14,1526056977
2024-12-15,1535646967
2024-12-16,1506903848
2024-12-17,1502068817
2024-12-19,1521524730
2024-12-20,1522910191
2024-12-21,1521878823
2024-12-22,1525227617
2024-12-24,1502230790
2024-12-25,1519643966
2024-12-26,1529916226
2024-12-27,1522753774
2024-12-28,1515765697
2024-12-29,1520552082
2024-12-30,1523461538
2024-12-31,1514919777
2025-01-02,1495444953
2025-01-03,1503399447
2025-01-04,1529891112
2025-01-06,1530885316
2025-01-07,1531071219
2025-01-09,1548307531
2025-01-10,1531804002
2025-01-12,1513169931
2025-01-13,1509226171
2025-01-14,1524728619
2025-01-16,1500717029
2025-01-17,1536998740
2025-01-18,1541394688
2025-01-19,1512882321
2025-01-21,1541813783
2025-01-22,1549353079
2025-01-23,1556357381
2025-01-24,1554445832
2025-01-25,1561566874
2025-01-26,1564991162
2025-01-27,1561340797
2025-01-29,1548379792
2025-01-30,1559839751
2025-01-31,1565950695
2025-02-01,1562798227
2025-02-02,1564301403
2025-02-03,1551964668
2025-02-04,1508692868
2025-02-05,1500090987
2025-02-06,1509764890
2025-02-07,1512733720
2025-02-09,1517218016
2025-02-10,1517632464
2025-02-11,1512997209
2025-02-12,1519577992
2025-02-13,1513492486
2025-02-14,1518803851
2025-02-15,1506233490
2025-02-16,1515666178
2025-02-17,1499157380
2025-02-19,1519538775
2025-02-20,1537033562
2025-02-21,1538955899
2025-02-22,1540069717
2025-02-23,1544805901
2025-02-24,1555494888
2025-02-25,1530992994
2025-02-26,1534536590
2025-02-27,1527168909
2025-02-28,1534955737
2025-03-01,1500804717
2025-03-02,1540098483
2025-03-03,1504219220
2025-03-04,1539712337
2025-03-05,1523698865
2025-03-06,1520786926
2025-03-07,1526185205
2025-03-08,1531597450
2025-03-09,1526394415
2025-03-11,1523778653
2025-03-12,1528959818
2025-03-13,1521468172
2025-03-14,1522997712
2025-03-15,1525944940
2025-03-16,1526793873
2025-03-18,1518758221
2025-03-19,1520302111
2025-03-20,1517452730
2025-03-22,1512341750
2025-03-23,1519625972
2025-03-24,1521573656
2025-03-25,1503570954
2025-03-26,1521542855
2025-03-27,1523028693
2025-03-31,1524638394
2025-04-01,1520922924
2025-04-05,1493477416
2025-04-06,1491376472
2025-04-07,1503608956
2025-04-08,1495976879
2025-04-09,1495642270
2025-04-10,1497035541
2025-04-11,1498863217
2025-04-12,1472966224
2025-04-14,1501345529
2025-04-16,1498178296
2025-04-17,1497189817
2025-04-18,1492682242
2025-04-20,1491900543
2025-04-24,1496990345
2025-04-25,1493043535
2025-04-26,1492891244
2025-04-27,1493088178
2025-04-28,1490476726
2025-04-29,1506888157
2025-04-30,1511910170
2025-05-01,1512612191
2025-05-02,1509891911
2025-05-03,1506309246
2025-05-04,1513719450
2025-05-05,1508408282
2025-05-06,1504854289
2025-05-07,1500037829
2025-05-08,1499031232
2025-05-10,1499650721
2025-05-11,1481613846
2025-05-12,1485739572
2025-05-13,1507838619
2025-05-14,1500464653
2025-05-15,1502566388
2025-05-16,1519204788
2025-05-17,1515497401
2025-05-18,1510427073
2025-05-19,1509781060
2025-05-20,1465158464
2025-05-21,1471474240
2025-05-22,1475162570
2025-05-23,1469264017
2025-05-24,1468777501
2025-05-28,1473196814
2025-05-30,1477298227
2025-06-01,1464562472
2025-06-02,1457486242
2025-06-03,1459907418
2025-06-04,1468181188
2025-06-05,1471536887
2025-06-06,1478321353
2025-06-07,1467050082
2025-06-09,1447824312
2025-06-10,1431630576
2025-06-11,1460456321
2025-06-12,1456473106
2025-06-13,1460354383
2025-06-14,1467853026
2025-06-15,1457460150
2025-06-16,1464512606
2025-06-17,1455918487
2025-06-18,1456355913
2025-06-19,1459414640
2025-06-20,1458724492
2025-06-21,1458854077
2025-06-22,1456522048
2025-06-24,1436571719
2025-06-25,1424778706
2025-06-28,1460716406
2025-06-29,1456999633
2025-06-30,1460606321
2025-07-01,1445228641
2025-07-02,1460964385
2025-07-03,1456405640
2025-07-04,1454785782
2025-07-05,1462432408
2025-07-06,1462184252
2025-07-08,1448671910
2025-07-09,1436515096
2025-07-12,1465269567
2025-07-14,1441251719
2025-07-16,1467388028
2025-07-17,1462852906
2025-07-20,1464634978
2025-07-21,1466088864
2025-07-23,1483140220
2025-07-24,1457068748
2025-07-28,1516752641
2025-07-29,1521356486
2025-07-30,1529224078
2025-07-31,1533696164
2025-08-01,1544495885
2025-08-02,1559649769
2025-08-03,1558605519
2025-08-04,1536018032
2025-08-05,1533207738
2025-08-06,1563524494
2025-08-07,1558193972
2025-08-08,1522552312
2025-08-09,1546038376
2025-08-10,1547397170
2025-08-11,1545838174
2025-08-12,1548836159
2025-08-13,1557408137
2025-08-15,1537845149
2025-08-16,1537674196
2025-08-17,1528624700
2025-08-20,1518483929
2025-08-21,1524606874
2025-08-23,1524483801
2025-08-24,1540531129
2025-08-26,1541235509
2025-08-27,1513980494
2025-08-28,1553847298
2025-08-29,1534407988
2025-08-30,1542747158
2025-09-01,1551765339
2025-09-02,1552906926
2025-09-04,1557912832
2025-09-07,1562163010
2025-09-08,1563397908
2025-09-10,1565417182
2025-09-11,1557773783
2025-09-12,1559708378
2025-09-13,1528358957
2025-09-14,1559872375
2025-09-15,1564337111
2025-09-16,1562456163
2025-09-18,1555220720
2025-09-19,1568325960
2025-09-21,1571992699
2025-09-22,1560596762
2025-09-23,1559975935
