date,value
2024-05-17,912042539
2024-05-18,911623973
2024-05-19,911615691
2024-05-23,911258206
2024-05-24,912491225
2024-05-25,912319691
2024-05-27,912550967
2024-06-18,917581686
2024-06-20,917020787
2024-06-21,916404127
2024-06-22,916779584
2024-06-25,918219337
2024-06-26,917969681
2024-06-28,917874851
2024-06-30,917614816
2024-07-03,917723816
2024-07-05,918428169
2024-07-06,917925497
2024-07-07,918205584
2024-07-09,919145858
2024-07-10,917651635
2024-07-11,917467050
2024-07-17,921183994
2024-07-18,922434180
2024-07-19,922738979
2024-07-20,924869334
2024-07-21,925594555
2024-07-22,925501972
2024-07-23,926778468
2024-07-24,926728435
2024-07-25,927867441
2024-07-26,928082501
2024-07-27,929030679
2024-07-28,928535845
2024-07-29,928341673
2024-07-30,928644645
2024-07-31,928635511
2024-08-01,929156191
2024-08-02,930015178
2024-08-03,929976032
2024-08-04,929184808
2024-08-05,929235587
2024-08-06,929811308
2024-08-07,930469471
2024-08-08,931020646
2024-08-09,928579359
2024-08-10,929366335
2024-08-11,929017414
2024-08-12,929523083
2024-08-13,930915893
2024-08-14,930301795
2024-08-15,930529463
2024-08-16,930111513
2024-08-17,930177244
2024-08-18,930355643
2024-08-19,930169644
2024-08-20,931513072
2024-08-21,930521809
2024-08-22,932530224
2024-08-23,932510947
2024-08-24,932444709
2024-08-25,932906983
2024-08-26,932831945
2024-08-27,932510545
2024-08-28,934415737
2024-08-29,935642321
2024-08-30,935174638
2024-08-31,935604752
2024-09-01,936098736
2024-09-02,935391442
2024-09-03,935079832
2024-09-04,935470590
2024-09-05,933838020
2024-09-06,934817180
2024-09-07,934078722
2024-09-08,934502060
2024-09-09,934117110
2024-09-10,934349588
2024-09-11,935115841
2024-09-12,934289775
2024-09-13,933106301
2024-09-14,933468155
2024-09-15,935459527
2024-09-16,934721577
2024-09-17,935382904
2024-09-18,935291299
2024-09-19,936423853
2024-09-20,937235005
2024-09-21,937441777
2024-09-22,937871505
2024-09-23,938867775
2024-09-24,939620931
2024-09-25,939013142
2024-09-26,939357555
2024-09-27,940010657
2024-09-28,939435627
2024-09-29,939672687
2024-09-30,938604339
2024-10-01,939908749
2024-10-02,940418936
2024-10-03,940531935
2024-10-05,938365968
2024-10-06,938524162
2024-10-07,938641092
2024-10-08,939319793
2024-10-09,939749930
2024-10-10,939109600
2024-10-11,939154207
2024-10-12,940027439
2024-10-13,940088340
2024-10-14,939643803
2024-10-15,941266176
2024-10-16,942281349
2024-10-17,941011652
2024-10-18,940881498
2024-10-19,942208311
2024-10-20,941260457
2024-10-21,941280263
2024-10-22,940015173
2024-11-23,935617959
2024-11-24,935665152
2024-11-26,934164593
2024-11-27,936749945
2024-11-28,936688117
2024-11-29,937297890
2024-11-30,937672481
2024-12-01,937033943
2024-12-02,937347207
2024-12-03,935342088
2024-12-04,932437865
2024-12-07,931395380
2024-12-08,931686563
2024-12-09,934381628
2024-12-10,932813461
2024-12-11,933941296
2024-12-12,934340252
2024-12-13,935801765
2024-12-14,938207447
2024-12-15,938211687
2024-12-16,938900304
2024-12-17,939314014
2024-12-19,939511176
2024-12-20,940354105
2024-12-21,940288617
2024-12-22,940939103
2024-12-24,942345170
2024-12-25,942922867
2024-12-26,943068173
2024-12-27,942561759
2024-12-28,943869675
2024-12-29,943017753
2024-12-30,945108114
2024-12-31,946421454
2025-01-02,945940672
2025-01-03,947736197
2025-01-04,946277939
2025-01-06,946646564
2025-01-07,945953661
2025-01-09,945755787
2025-01-10,944179210
2025-01-12,945325658
2025-01-13,945562535
2025-01-14,946476130
2025-01-16,946546855
2025-01-17,945034192
2025-01-18,944722623
2025-01-19,942315056
2025-01-21,941339076
2025-01-22,941560577
2025-01-23,940282201
2025-01-24,941521034
2025-01-25,940489137
2025-01-26,940452149
2025-01-27,941665330
2025-01-29,940656248
2025-01-30,940695214
2025-01-31,941807523
2025-02-01,941430488
2025-02-02,940063337
2025-02-03,938250980
2025-02-04,937294992
2025-02-05,938561067
2025-02-06,938345801
2025-02-07,938070028
2025-02-09,938719586
2025-02-10,938568664
2025-02-11,939007921
2025-02-12,939527985
2025-02-13,939774122
2025-02-14,939167673
2025-02-15,939051707
2025-02-16,937927125
2025-02-17,938731181
2025-02-19,939445885
2025-02-20,938715394
2025-02-21,939056111
2025-02-22,941086586
2025-02-23,942158891
2025-02-24,942798990
2025-02-25,940608397
2025-02-26,941263856
2025-02-27,941518747
2025-02-28,942565090
2025-03-01,943018236
2025-03-02,943646356
2025-03-03,944550315
2025-03-04,945081039
2025-03-05,945221981
2025-03-06,945024499
2025-03-07,944206173
2025-03-08,943353169
2025-03-09,943892596
2025-03-11,942211894
2025-03-12,941894946
2025-03-13,941611567
2025-03-14,941872280
2025-03-15,943421874
2025-03-16,943421558
2025-03-18,943515627
2025-03-19,942354399
2025-03-20,942571161
