date,value
2024-05-17,5195387
2024-05-18,5196195
2024-05-19,5196642
2024-05-23,5200332
2024-05-24,5201225
2024-05-25,5202617
2024-05-27,5204187
2024-06-18,5222171
2024-06-20,5224041
2024-06-21,5224851
2024-06-22,5225253
2024-06-25,5227835
2024-06-26,5228436
2024-06-28,5229969
2024-06-30,5231151
2024-07-03,5233605
2024-07-05,5235271
2024-07-06,5236146
2024-07-07,5237043
2024-07-09,5238535
2024-07-10,5239522
2024-07-11,5240080
2024-07-17,5245839
2024-07-18,5246686
2024-07-19,5247961
2024-07-20,5249268
2024-07-21,5250498
2024-07-22,5251611
2024-07-23,5253014
2024-07-24,5254310
2024-07-25,5255688
2024-07-26,5256972
2024-07-27,5258208
2024-07-28,5259283
2024-07-29,5260243
2024-07-30,5261444
2024-07-31,5262894
2024-08-01,5264479
2024-08-02,5266670
2024-08-03,5266822
2024-08-04,5267823
2024-08-05,5268691
2024-08-06,5270195
2024-08-07,5271677
2024-08-08,5273233
2024-08-09,5273256
2024-08-10,5274699
2024-08-11,5275961
2024-08-12,5277049
2024-08-13,5278244
2024-08-14,5279495
2024-08-15,5280722
2024-08-16,5281947
2024-08-17,5283189
2024-08-18,5284269
2024-08-19,5285405
2024-08-20,5286676
2024-08-21,5287920
2024-08-22,5288987
2024-08-23,5290176
2024-08-24,5291345
2024-08-25,5292401
2024-08-26,5293340
2024-08-27,5294542
2024-08-28,5295767
2024-08-29,5297068
2024-08-30,5298249
2024-08-31,5299299
2024-09-01,5300296
2024-09-02,5302169
2024-09-03,5302646
2024-09-04,5303984
2024-09-05,5305254
2024-09-06,5306244
2024-09-07,5307242
2024-09-08,5308152
2024-09-09,5308883
2024-09-10,5309788
2024-09-11,5310712
2024-09-12,5311562
2024-09-13,5312671
2024-09-14,5313678
2024-09-15,5314631
2024-09-16,5315581
2024-09-17,5316442
2024-09-18,5317237
2024-09-19,5318238
2024-09-20,5319281
2024-09-21,5320267
2024-09-22,5321038
2024-09-23,5321976
2024-09-24,5322999
2024-09-25,5324091
2024-09-26,5325182
2024-09-27,5326376
2024-09-28,5327561
2024-09-29,5328619
2024-09-30,5329080
2024-10-01,5330427
2024-10-02,5331950
2024-10-03,5333315
2024-10-05,5335781
2024-10-06,5336590
2024-10-07,5337548
2024-10-08,5338583
2024-10-09,5339596
2024-10-10,5341238
2024-10-11,5342035
2024-10-12,5343021
2024-10-13,5344517
2024-10-14,5345431
2024-10-15,5346609
2024-10-16,5347862
2024-10-17,5349309
2024-10-18,5350810
2024-10-19,5352163
2024-10-20,5355445
2024-10-21,5359361
2024-10-22,5362850
2024-11-23,5459811
2024-11-24,5462518
2024-11-26,5471378
2024-11-27,5475583
2024-11-28,5480716
2024-11-29,5484714
2024-11-30,5491420
2024-12-01,5502214
2024-12-02,5524568
2024-12-03,5550992
2024-12-04,5569337
2024-12-07,5607935
2024-12-08,5619011
2024-12-09,5630291
2024-12-10,5640267
2024-12-11,5657737
2024-12-12,5659155
2024-12-13,5668186
2024-12-14,5676226
2024-12-15,5685994
2024-12-16,5694542
2024-12-17,5704339
2024-12-19,5727731
2024-12-20,5739865
2024-12-21,5742302
2024-12-22,5748854
2024-12-24,5760678
2024-12-25,5767344
2024-12-26,5774049
2024-12-27,5779675
2024-12-28,5786236
2024-12-29,5794581
2024-12-30,5801445
2024-12-31,5815583
2025-01-02,5826977
2025-01-03,5832930
2025-01-04,5839888
2025-01-06,5852478
2025-01-07,5859140
2025-01-09,5872232
2025-01-10,5880242
2025-01-12,5904398
2025-01-13,5906216
2025-01-14,5917105
2025-01-16,5936627
2025-01-17,5950653
2025-01-18,5965013
2025-01-19,5976773
2025-01-21,6002007
2025-01-22,6015790
2025-01-23,6026255
2025-01-24,6029468
2025-01-25,6043971
2025-01-26,6045458
2025-01-27,6052857
2025-01-29,6068069
2025-01-30,6074368
2025-01-31,6081005
2025-02-01,6086431
2025-02-02,6091481
2025-02-03,6097596
2025-02-04,6105025
2025-02-05,6111073
2025-02-06,6116289
2025-02-07,6121052
2025-02-09,6130428
2025-02-10,6135054
2025-02-11,6142690
2025-02-12,6144591
2025-02-13,6147454
2025-02-14,6151949
2025-02-15,6157340
2025-02-16,6162063
2025-02-17,6166255
2025-02-19,6173797
2025-02-20,6177682
2025-02-21,6181847
2025-02-22,6187350
2025-02-23,6192236
2025-02-24,6196608
2025-02-25,6200737
