-- Number of accounts and sum of balance range,-- Number of accounts and sum of balance range.1,-- Number of accounts and sum of balance range.2
# Accounts Balance from ... To Sum (XRP),# Accounts Balance from ... To Sum (XRP),# Accounts Balance from ... To Sum (XRP)
6,"1,000,000,000 - Infinity",8265458228.000000
21,"500,000,000 - 1,000,000,000",11160684404.130146
51,"100,000,000 - 500,000,000",10471519995.419640
157,"20,000,000 - 100,000,000",6681470963.273668
290,"10,000,000 - 20,000,000",4001803228.428760
204,"5,000,000 - 10,000,000",1369872770.285013
2008,"1,000,000 - 5,000,000",4944071470.626978
2192,"500,000 - 1,000,000",1456405640.893572
28423,"100,000 - 500,000",5091174681.607645
11109,"75,000 - 100,000",954659967.709727
27402,"50,000 - 75,000",1610038574.494498
66284,"25,000 - 50,000",2286366852.635197
168528,"10,000 - 25,000",2541540750.220974
161757,"5,000 - 10,000",1113867582.996603
545849,"1,000 - 5,000",1231220364.801631
235827,"500 - 1,000",167589885.496248
2518692,20 - 500,206409359.481040
2853941,0 - 20,23186759.923000
