Accounts,Balance Range (XRP),Sum in Range (XRP),date
6,"1,000,000,000 - Infinity",8265458228.0,2025-07-04
21,"500,000,000 - 1,000,000,000",11160684404.130146,2025-07-04
51,"100,000,000 - 500,000,000",10471519995.41964,2025-07-04
157,"20,000,000 - 100,000,000",6681470963.273668,2025-07-04
290,"10,000,000 - 20,000,000",4001803228.42876,2025-07-04
204,"5,000,000 - 10,000,000",1369872770.285013,2025-07-04
2008,"1,000,000 - 5,000,000",4944071470.626978,2025-07-04
2192,"500,000 - 1,000,000",1456405640.893572,2025-07-04
28423,"100,000 - 500,000",5091174681.607645,2025-07-04
11109,"75,000 - 100,000",954659967.7,2025-07-04
27402,"50,000 - 75,000",1610038574.494498,2025-07-04
66284,"25,000 - 50,000",2286366852.635197,2025-07-04
168528,"10,000 - 25,000",2541540750.220974,2025-07-04
161757,"5,000 - 10,000",1113867582.996603,2025-07-04
545849,"1,000 - 5,000",1231220364.801631,2025-07-04
235827,"500 - 1,000",167589885.5,2025-07-04
2518692,20 - 500,206409359.5,2025-07-04
2853941,0 - 20,23186759.92,2025-07-04
6,"1,000,000,000 - Infinity",8076174448.0,2025-07-05
22,"500,000,000 - 1,000,000,000",11665101795.071836,2025-07-05
53,"100,000,000 - 500,000,000",10827083627.294989,2025-07-05
152,"20,000,000 - 100,000,000",6433417571.112047,2025-07-05
294,"10,000,000 - 20,000,000",4064794232.336998,2025-07-05
205,"5,000,000 - 10,000,000",1374793715.211485,2025-07-05
2004,"1,000,000 - 5,000,000",4927992393.673636,2025-07-05
2201,"500,000 - 1,000,000",1462432408.385175,2025-07-05
28454,"100,000 - 500,000",5099106006.031013,2025-07-05
11122,"75,000 - 100,000",955866642.0,2025-07-05
27441,"50,000 - 75,000",1612067641.386417,2025-07-05
66366,"25,000 - 50,000",2288521470.966585,2025-07-05
168748,"10,000 - 25,000",2544979736.841313,2025-07-05
161945,"5,000 - 10,000",1115266953.262262,2025-07-05
546565,"1,000 - 5,000",1232870528.562557,2025-07-05
235902,"500 - 1,000",167652798.0,2025-07-05
2519112,20 - 500,206525614.1,2025-07-05
2858916,0 - 20,23184794.28,2025-07-05
6,"1,000,000,000 - Infinity",8078265086.0,2025-07-06
22,"500,000,000 - 1,000,000,000",11668445844.815275,2025-07-06
53,"100,000,000 - 500,000,000",10822470341.082527,2025-07-06
152,"20,000,000 - 100,000,000",6431090337.563475,2025-07-06
294,"10,000,000 - 20,000,000",4062138777.534537,2025-07-06
202,"5,000,000 - 10,000,000",1357374550.408784,2025-07-06
2007,"1,000,000 - 5,000,000",4939358089.93859,2025-07-06
2200,"500,000 - 1,000,000",1462184252.917233,2025-07-06
28481,"100,000 - 500,000",5103091709.950969,2025-07-06
11136,"75,000 - 100,000",957150580.242472,2025-07-06
27452,"50,000 - 75,000",1612744453.849171,2025-07-06
66391,"25,000 - 50,000",2289144775.402479,2025-07-06
168849,"10,000 - 25,000",2546453114.77577,2025-07-06
162047,"5,000 - 10,000",1115972987.843991,2025-07-06
546939,"1,000 - 5,000",1233667998.752243,2025-07-06
236035,"500 - 1,000",167741286.184114,2025-07-06
2519713,20 - 500,206645901.189771,2025-07-06
2861034,0 - 20,23185457.156666,2025-07-06
6,"1,000,000,000 - Infinity",7843241315.0,2025-07-08
22,"500,000,000 - 1,000,000,000",11671069874.191296,2025-07-08
52,"100,000,000 - 500,000,000",10956992547.232212,2025-07-08
154,"20,000,000 - 100,000,000",6549475242.52632,2025-07-08
292,"10,000,000 - 20,000,000",4041284854.220016,2025-07-08
201,"5,000,000 - 10,000,000",1348991607.24949,2025-07-08
2006,"1,000,000 - 5,000,000",4938249728.610844,2025-07-08
2176,"500,000 - 1,000,000",1448671910.858661,2025-07-08
28520,"100,000 - 500,000",5117041957.834606,2025-07-08
11140,"75,000 - 100,000",957483967.456474,2025-07-08
27471,"50,000 - 75,000",1614006371.965349,2025-07-08
66455,"25,000 - 50,000",2291138979.318135,2025-07-08
169032,"10,000 - 25,000",2549144185.102613,2025-07-08
162271,"5,000 - 10,000",1117578141.705676,2025-07-08
547726,"1,000 - 5,000",1235474021.37276,2025-07-08
236301,"500 - 1,000",167923207.905723,2025-07-08
2520914,20 - 500,206855623.948897,2025-07-08
2866694,0 - 20,23191906.365004,2025-07-08
6,"1,000,000,000 - Infinity",7838185953.0,2025-07-09
22,"500,000,000 - 1,000,000,000",11671349845.766191,2025-07-09
52,"100,000,000 - 500,000,000",10961706358.390152,2025-07-09
153,"20,000,000 - 100,000,000",6474240432.729116,2025-07-09
296,"10,000,000 - 20,000,000",4086047600.705041,2025-07-09
205,"5,000,000 - 10,000,000",1376962274.079168,2025-07-09
2007,"1,000,000 - 5,000,000",4937442526.500581,2025-07-09
2157,"500,000 - 1,000,000",1436515096.273752,2025-07-09
28540,"100,000 - 500,000",5127191372.275265,2025-07-09
11140,"75,000 - 100,000",957456911.804466,2025-07-09
27475,"50,000 - 75,000",1614076662.397943,2025-07-09
66500,"25,000 - 50,000",2292742295.515739,2025-07-09
169127,"10,000 - 25,000",2550261952.070452,2025-07-09
162386,"5,000 - 10,000",1118367681.550358,2025-07-09
548205,"1,000 - 5,000",1236553710.411888,2025-07-09
236429,"500 - 1,000",168016027.875047,2025-07-09
2521355,20 - 500,206940255.164814,2025-07-09
2868784,0 - 20,23193298.18007,2025-07-09
5,"1,000,000,000 - Infinity",6608847043.0,2025-07-12
24,"500,000,000 - 1,000,000,000",13337656982.39356,2025-07-12
52,"100,000,000 - 500,000,000",10492715757.357767,2025-07-12
153,"20,000,000 - 100,000,000",6536881560.526052,2025-07-12
289,"10,000,000 - 20,000,000",4004559551.146208,2025-07-12
214,"5,000,000 - 10,000,000",1442637378.935948,2025-07-12
1994,"1,000,000 - 5,000,000",4903738393.306219,2025-07-12
2204,"500,000 - 1,000,000",1465269567.684052,2025-07-12
28495,"100,000 - 500,000",5103143903.25961,2025-07-12
11125,"75,000 - 100,000",955978299.980546,2025-07-12
27525,"50,000 - 75,000",1616786658.042527,2025-07-12
66533,"25,000 - 50,000",2294013860.211687,2025-07-12
169478,"10,000 - 25,000",2554938971.703979,2025-07-12
162871,"5,000 - 10,000",1121674204.835392,2025-07-12
549685,"1,000 - 5,000",1239669758.727784,2025-07-12
236742,"500 - 1,000",168225469.640531,2025-07-12
2522256,20 - 500,207207543.944932,2025-07-12
2883733,0 - 20,23204593.80173,2025-07-12
5,"1,000,000,000 - Infinity",6610942405.0,2025-07-14
24,"500,000,000 - 1,000,000,000",13338543792.282703,2025-07-14
52,"100,000,000 - 500,000,000",10503877474.218904,2025-07-14
152,"20,000,000 - 100,000,000",6494870129.492784,2025-07-14
287,"10,000,000 - 20,000,000",3988563077.430631,2025-07-14
214,"5,000,000 - 10,000,000",1446345564.90563,2025-07-14
2005,"1,000,000 - 5,000,000",4930757218.626095,2025-07-14
2163,"500,000 - 1,000,000",1441251719.051782,2025-07-14
28578,"100,000 - 500,000",5125760881.658649,2025-07-14
11123,"75,000 - 100,000",955652003.866927,2025-07-14
27520,"50,000 - 75,000",1616365864.854578,2025-07-14
66622,"25,000 - 50,000",2297227982.012365,2025-07-14
169790,"10,000 - 25,000",2559643167.975442,2025-07-14
163325,"5,000 - 10,000",1124716174.974066,2025-07-14
551193,"1,000 - 5,000",1242898824.693058,2025-07-14
237160,"500 - 1,000",168503129.373499,2025-07-14
2523748,20 - 500,207543348.352851,2025-07-14
2890806,0 - 20,23209754.393137,2025-07-14
4,"1,000,000,000 - Infinity",5564654151.0,2025-07-16
24,"500,000,000 - 1,000,000,000",13845527579.681,2025-07-16
53,"100,000,000 - 500,000,000",10932316586.20906,2025-07-16
151,"20,000,000 - 100,000,000",6546190415.899087,2025-07-16
292,"10,000,000 - 20,000,000",4039394177.439799,2025-07-16
216,"5,000,000 - 10,000,000",1470971485.702217,2025-07-16
2001,"1,000,000 - 5,000,000",4914939620.106293,2025-07-16
2209,"500,000 - 1,000,000",1467388028.664509,2025-07-16
28437,"100,000 - 500,000",5088560907.749404,2025-07-16
11107,"75,000 - 100,000",954507593.75427,2025-07-16
27544,"50,000 - 75,000",1617856049.362842,2025-07-16
66661,"25,000 - 50,000",2298699466.259277,2025-07-16
170093,"10,000 - 25,000",2563929706.353952,2025-07-16
163624,"5,000 - 10,000",1126642058.770524,2025-07-16
552405,"1,000 - 5,000",1245683810.064364,2025-07-16
237725,"500 - 1,000",168920161.51711,2025-07-16
2525221,20 - 500,207830466.457279,2025-07-16
2901687,0 - 20,23218693.104957,2025-07-16
5,"1,000,000,000 - Infinity",6585512802.000000,2025-07-17
23,"500,000,000 - 1,000,000,000",12784126098.496717,2025-07-17
53,"100,000,000 - 500,000,000",10950651654.586077,2025-07-17
151,"20,000,000 - 100,000,000",6550227001.089317,2025-07-17
290,"10,000,000 - 20,000,000",4014592035.027438,2025-07-17
222,"5,000,000 - 10,000,000",1516324364.080959,2025-07-17
1997,"1,000,000 - 5,000,000",4902091075.007580,2025-07-17
2197,"500,000 - 1,000,000",1462852906.702050,2025-07-17
28462,"100,000 - 500,000",5096454805.434584,2025-07-17
11122,"75,000 - 100,000",955747461.542795,2025-07-17
27551,"50,000 - 75,000",1618315611.307502,2025-07-17
66708,"25,000 - 50,000",2300116474.534067,2025-07-17
170230,"10,000 - 25,000",2565739967.415905,2025-07-17
