Accounts,Balance Range (XRP),Sum in Range (XRP),date
6,"1,000,000,000 - Infinity",8076174448.000000,7/5/2025
22,"500,000,000 - 1,000,000,000",11665101795.071836,7/5/2025
53,"100,000,000 - 500,000,000",10827083627.294989,7/5/2025
152,"20,000,000 - 100,000,000",6433417571.112047,7/5/2025
294,"10,000,000 - 20,000,000",4064794232.336998,7/5/2025
205,"5,000,000 - 10,000,000",1374793715.211485,7/5/2025
2004,"1,000,000 - 5,000,000",4927992393.673636,7/5/2025
2201,"500,000 - 1,000,000",1462432408.385175,7/5/2025
28454,"100,000 - 500,000",5099106006.031013,7/5/2025
11122,"75,000 - 100,000",955866642,7/5/2025
27441,"50,000 - 75,000",1612067641.386417,7/5/2025
66366,"25,000 - 50,000",2288521470.966585,7/5/2025
168748,"10,000 - 25,000",2544979736.841313,7/5/2025
161945,"5,000 - 10,000",1115266953.262262,7/5/2025
546565,"1,000 - 5,000",1232870528.562557,7/5/2025
235902,"500 - 1,000",167652798,7/5/2025
2519112,20 - 500,206525614.1,7/5/2025
2858916,0 - 20,23184794.28,7/5/2025
6,"1,000,000,000 - Infinity",8265458228.000000,7/4/2025
21,"500,000,000 - 1,000,000,000",11160684404.130146,7/4/2025
51,"100,000,000 - 500,000,000",10471519995.419640,7/4/2025
157,"20,000,000 - 100,000,000",6681470963.273668,7/4/2025
290,"10,000,000 - 20,000,000",4001803228.428760,7/4/2025
204,"5,000,000 - 10,000,000",1369872770.285013,7/4/2025
2008,"1,000,000 - 5,000,000",4944071470.626978,7/4/2025
2192,"500,000 - 1,000,000",1456405640.893572,7/4/2025
28423,"100,000 - 500,000",5091174681.607645,7/4/2025
11109,"75,000 - 100,000",954659967.7,7/4/2025
27402,"50,000 - 75,000",1610038574.494498,7/4/2025
66284,"25,000 - 50,000",2286366852.635197,7/4/2025
168528,"10,000 - 25,000",2541540750.220974,7/4/2025
161757,"5,000 - 10,000",1113867582.996603,7/4/2025
545849,"1,000 - 5,000",1231220364.801631,7/4/2025
235827,"500 - 1,000",167589885.5,7/4/2025
2518692,20 - 500,206409359.5,7/4/2025
2853941,0 - 20,23186759.92,7/4/2025
