Threshold (%),Accounts ≥ Threshold,XRP ≥ Threshold,date
0.01%,663,"5,745,177.782106 XRP",7/5/2025
0.10%,6630,"369,350.816212 XRP",7/5/2025
0.20%,13259,"200,100.000004 XRP",7/5/2025
0.50%,33148,"100,000.001032 XRP",7/5/2025
1%,66295,"50,631.213275 XRP",7/5/2025
2%,132590,"25,640.230348 XRP",7/5/2025
3%,198885,"16,298.235648 XRP",7/5/2025
4%,265180,"11,033.748995 XRP",7/5/2025
5%,331475,"8,757.915442 XRP",7/5/2025
10%,662951,"2,486.527019 XRP",7/5/2025
0.01%,662,"5,730,534.747576 XRP",7/4/2025
0.10%,6623,"369,150.999559 XRP",7/4/2025
0.20%,13245,"200,086.954537 XRP",7/4/2025
0.50%,33114,"100,000.001026 XRP",7/4/2025
1%,66227,"50,626.750974 XRP",7/4/2025
2%,132455,"25,633.998138 XRP",7/4/2025
3%,198682,"16,287.588951 XRP",7/4/2025
4%,264910,"11,029.834165 XRP",7/4/2025
5%,331137,"8,752.497377 XRP",7/4/2025
10%,662274,"2,484.043344 XRP",7/4/2025
